THREADS; TOTAL MESSAGES; AVERAGE MESSAGES; TOTAL WORK-UNITS; AVERAGE WORK-UNITS 
1;88288;3531;5273277;210931
2;884617;35384;17827105;713084
3;887936;35517;17933858;717354
4;897912;35916;17996292;719851
5;899998;35999;18000000;720000
6;899996;35999;18000000;720000
7;899999;35999;18000000;720000
8;899999;35999;18000000;720000
9;899997;35999;18000000;720000
10;900000;36000;18000000;720000
11;899996;35999;18000000;720000
12;899996;35999;18000000;720000
13;899999;35999;18000000;720000
14;900000;36000;18000000;720000
15;900000;36000;18000000;720000
16;899998;35999;18000000;720000
17;900000;36000;18000000;720000
18;899999;35999;18000000;720000
19;900000;36000;18000000;720000
20;900000;36000;18000000;720000
21;900000;36000;18000000;720000
22;899998;35999;18000000;720000
23;899999;35999;18000000;720000
24;899999;35999;18000000;720000
25;899999;35999;18000000;720000
26;899998;35999;18000000;720000
27;899999;35999;18000000;720000
28;900000;36000;18000000;720000
29;899996;35999;18000000;720000
30;899998;35999;18000000;720000
31;899999;35999;18000000;720000
32;900000;36000;18000000;720000
33;899999;35999;18000000;720000
34;900000;36000;18000000;720000
35;900000;36000;18000000;720000
36;900000;36000;18000000;720000
37;900000;36000;18000000;720000
38;900000;36000;18000000;720000
39;900000;36000;18000000;720000
40;899997;35999;18000000;720000
41;900000;36000;18000000;720000
42;899998;35999;18000000;720000
43;899999;35999;18000000;720000
44;900000;36000;18000000;720000
45;900000;36000;18000000;720000
46;899999;35999;18000000;720000
47;899999;35999;18000000;720000
48;900000;36000;18000000;720000
49;900000;36000;18000000;720000
50;900000;36000;18000000;720000
THREADS; MESSAGES; WORK-UNITS
1;3474;210805
1;3463;209679
1;3546;213500
1;3515;206248
1;3483;210423
1;3546;216666
1;3505;211443
1;3498;208270
1;3515;204181
1;3481;207291
1;3537;207601
1;3584;216013
1;3540;211537
1;3744;216373
1;3483;208598
1;3507;211306
1;3745;217857
1;3507;209598
1;3518;210548
1;3532;207136
1;3536;212430
1;3500;214453
1;3514;208076
1;3500;210682
1;3515;212563


THREADS; MESSAGES; WORK-UNITS
2;35414;713130
2;35407;712258
2;35402;712216
2;35407;711933
2;35408;714046
2;35407;712587
2;35408;713300
2;35412;712918
2;35407;713081
2;35406;713265
2;35408;713578
2;35411;713928
2;35409;713961
2;34810;709489
2;35408;713458
2;35411;713570
2;35409;714103
2;35408;713394
2;35409;712759
2;35407;713422
2;35407;713443
2;35408;713867
2;35413;712959
2;35407;713739
2;35414;712701


THREADS; MESSAGES; WORK-UNITS
3;35510;719013
3;35417;714538
3;35416;714541
3;35651;719488
3;35413;715554
3;36000;720000
3;35446;717430
3;35439;717475
3;35496;718530
3;35488;718575
3;35413;714765
3;35472;717638
3;35517;718687
3;35412;714634
3;35494;719276
3;35756;719643
3;35532;718792
3;35416;714176
3;35769;719687
3;35413;715465
3;35554;719453
3;35415;714656
3;35549;719047
3;35416;714068
3;35532;718727


THREADS; MESSAGES; WORK-UNITS
4;36000;720000
4;36000;720000
4;36000;720000
4;36000;720000
4;36000;720000
4;36000;720000
4;35515;718828
4;36000;720000
4;36000;720000
4;36000;720000
4;36000;720000
4;35999;720000
4;35748;719817
4;36000;720000
4;36000;720000
4;35674;719591
4;36000;720000
4;36000;720000
4;36000;720000
4;36000;720000
