THREADS; TOTAL MESSAGES; AVERAGE MESSAGES; TOTAL WORK-UNITS; AVERAGE WORK-UNITS 
1;0;0;4695320;187812
2;35;1;8251779;330071
3;11981;479;7526692;301067
4;57866;2314;8974482;358979
5;74999;2999;9634355;385374
6;76814;3072;9965787;398631
7;97813;3912;14611651;584466
8;115207;4608;12966650;518666
9;125960;5038;12853347;514133
10;105719;4228;14418588;576743
11;105363;4214;14973034;598921
12;92169;3686;15712201;628488
13;101096;4043;15461868;618474
14;100837;4033;15377572;615102
15;105580;4223;14884382;595375
16;100040;4001;15619800;624792
17;91822;3672;16260501;650420
18;105093;4203;15214470;608578
19;100434;4017;15650821;626032
20;102520;4100;15571056;622842
21;114565;4582;14139891;565595
22;107160;4286;14560704;582428
23;118361;4734;13977461;559098
24;111608;4464;14801816;592072
25;122920;4916;13195353;527814
26;121497;4859;13262060;530482
27;116299;4651;13460688;538427
28;126975;5079;12839132;513565
29;118547;4741;12771026;510841
30;119708;4788;12540215;501608
31;118940;4757;12653208;506128
32;122675;4907;12789967;511598
33;121607;4864;13477134;539085
34;125471;5018;13017726;520709
35;129985;5199;12774654;510986
36;122524;4900;13404664;536186
37;120514;4820;12692880;507715
38;121543;4861;13153675;526147
39;127719;5108;13011128;520445
40;135080;5403;12845764;513830
41;126019;5040;13930761;557230
42;126846;5073;14028249;561129
43;124674;4986;14402743;576109
44;126453;5058;13657168;546286
45;132794;5311;13280169;531206
46;122437;4897;13072066;522882
47;123753;4950;13464179;538567
48;127658;5106;13062563;522502
49;117375;4695;14682547;587301
50;117607;4704;14210787;568431
THREADS; MESSAGES; WORK-UNITS
1;0;186702
1;0;189134
1;0;187018
1;0;187180
1;0;187195
1;0;186942
1;0;189121
1;0;186740
1;0;187486
1;0;186977
1;0;187183
1;0;189406
1;0;187163
1;0;186473
1;0;186691
1;0;198158
1;0;187158
1;0;189382
1;0;186893
1;0;187140
1;0;186895
1;0;187200
1;0;187232
1;0;189731
1;0;184120


THREADS; MESSAGES; WORK-UNITS
2;1;335091
2;3;349048
2;1;349275
2;1;334703
2;2;309363
2;1;334760
2;2;334664
2;2;334823
2;2;334615
2;1;334481
2;1;334767
2;2;334588
2;1;334788
2;2;334591
2;1;334922
2;1;337459
2;1;302768
2;2;334627
2;1;305610
2;1;334551
2;2;302635
2;0;337361
2;1;302815
2;1;334739
2;2;334735


THREADS; MESSAGES; WORK-UNITS
3;999;316783
3;730;303792
3;609;309231
3;1092;313701
3;244;293955
3;5;258163
3;1;253893
3;3;300651
3;49;301799
3;22;287770
3;1008;311480
3;923;311803
3;13;297012
3;1014;311885
3;102;301596
3;313;296116
3;980;313431
3;20;301012
3;2;300102
3;1048;310749
3;1;294521
3;700;307631
3;302;307316
3;1034;313922
3;767;308378


THREADS; MESSAGES; WORK-UNITS
4;1690;333550
4;3000;397825
4;3000;368560
4;1645;323708
4;3000;409696
4;3000;454416
4;2223;335093
4;3000;436432
4;1761;324778
4;1765;323474
4;3000;368973
4;3000;403121
4;1824;317600
4;1755;322370
4;2764;342819
4;3000;426208
4;1759;325188
4;1721;329623
4;1802;317026
4;3000;413909
4;1874;321735
4;1724;327442
4;3000;394528
4;1793;333003
4;1766;323405


THREADS; MESSAGES; WORK-UNITS
