THREADS; TOTAL MESSAGES; AVERAGE MESSAGES; TOTAL WORK-UNITS; AVERAGE WORK-UNITS 
1;69356;2774;5300301;212012
2;710633;28425;16520696;660827
3;1032832;41313;20840422;833616
4;1034327;41373;20908208;836328
5;1039710;41588;20967680;838707
6;1045214;41808;20990550;839622
7;1049417;41976;20999262;839970
8;1049999;41999;21000000;840000
9;1050000;42000;21000000;840000
10;1049999;41999;21000000;840000
11;1050000;42000;21000000;840000
12;1049999;41999;21000000;840000
13;1050000;42000;21000000;840000
14;1049999;41999;21000000;840000
15;1049999;41999;21000000;840000
16;1049999;41999;21000000;840000
17;1050000;42000;21000000;840000
18;1050000;42000;21000000;840000
19;1049999;41999;21000000;840000
20;1049998;41999;21000000;840000
21;1049997;41999;21000000;840000
22;1049997;41999;21000000;840000
23;1049999;41999;21000000;840000
24;1049997;41999;21000000;840000
25;1049999;41999;21000000;840000
26;1049998;41999;21000000;840000
27;1049998;41999;21000000;840000
28;1049999;41999;21000000;840000
29;1049999;41999;21000000;840000
30;1049999;41999;21000000;840000
31;1049999;41999;21000000;840000
32;1050000;42000;21000000;840000
33;1050000;42000;21000000;840000
34;1049998;41999;21000000;840000
35;1050000;42000;21000000;840000
36;1050000;42000;21000000;840000
37;1050000;42000;21000000;840000
38;1050000;42000;21000000;840000
39;1049998;41999;21000000;840000
40;1049999;41999;21000000;840000
41;1049997;41999;21000000;840000
42;1049998;41999;21000000;840000
43;1049999;41999;21000000;840000
44;1049997;41999;21000000;840000
45;1050000;42000;21000000;840000
46;1049999;41999;21000000;840000
47;1050000;42000;21000000;840000
48;1049999;41999;21000000;840000
49;1050000;42000;21000000;840000
50;1050000;42000;21000000;840000
THREADS; MESSAGES; WORK-UNITS
1;2800;207580
1;2735;204953
1;2800;209703
1;2799;216234
1;2767;208006
1;2727;208136
1;2788;198114
1;2745;211083
1;2800;214260
1;2800;214523
1;2800;215959
1;2731;214755
1;2800;217860
1;2728;219626
1;2800;219399
1;2707;213215
1;2800;212203
1;2800;215244
1;2774;215243
1;2800;218740
1;2800;201112
1;2749;202921
1;2740;207148
1;2800;217692
1;2766;216592


THREADS; MESSAGES; WORK-UNITS
2;26882;636769
2;28747;673940
2;31591;715473
2;31945;710857
2;30008;683138
2;27297;628485
2;27591;637559
2;30273;695048
2;30374;693822
2;28358;657113
2;20755;536023
2;29801;679271
2;27547;649497
2;31088;712918
2;32554;719644
2;22290;556611
2;28075;659378
2;27473;650322
2;29563;670515
2;26796;641286
2;29692;684707
2;26806;636687
2;29092;672852
2;29667;683480
2;26368;635301


THREADS; MESSAGES; WORK-UNITS
3;41312;832393
3;41310;833133
3;41315;834526
3;41313;832604
3;41316;832640
3;41310;833852
3;41315;834437
3;41313;833292
3;41314;833274
3;41313;833756
3;41311;834506
3;41311;832974
3;41313;833018
3;41312;834035
3;41314;833823
3;41316;834094
3;41314;833773
3;41312;833162
3;41314;833837
3;41314;833899
3;41313;832682
3;41318;835373
3;41314;833103
3;41313;834791
3;41312;833445


THREADS; MESSAGES; WORK-UNITS
4;41668;839577
4;41360;837047
4;41315;834621
4;41317;836147
4;41315;835153
4;41315;834707
4;41377;838647
4;41314;833640
4;41316;834654
4;41315;834312
4;41385;838481
4;41394;838432
4;41318;834688
4;41420;838653
4;41314;833901
4;41317;833928
4;41318;834802
4;41318;836506
4;41626;839430
4;41314;836034
4;41314;834476
4;41554;839454
4;41309;833115
4;41435;839036
4;41379;838767


