THREADS; TOTAL MESSAGES; AVERAGE MESSAGES; TOTAL WORK-UNITS; AVERAGE WORK-UNITS 
1;0;0;4637325;185493
2;1;0;7146953;285878
3;40;1;13157546;526301
4;35;1;13844794;553791
5;82;3;12236132;489445
6;85;3;11213532;448541
7;92;3;10949721;437988
8;123;4;11327532;453101
9;205;8;11089740;443589
10;449;17;10869920;434796
11;1484;59;11111266;444450
12;1974;78;11246405;449856
13;4553;182;11518090;460723
14;8922;356;11277191;451087
15;14207;568;11475704;459028
16;19857;794;11336904;453476
17;25554;1022;11305996;452239
18;28994;1159;11344112;453764
19;33663;1346;11391721;455668
20;36870;1474;11346743;453869
21;39778;1591;11235496;449419
22;41910;1676;11371063;454842
23;45271;1810;11212577;448503
24;45532;1821;11238523;449540
25;45575;1823;11152821;446112
26;47448;1897;11175062;447002
27;47883;1915;11256856;450274
28;47635;1905;11222940;448917
29;48737;1949;11307984;452319
30;51127;2045;11150802;446032
31;49345;1973;11257043;450281
32;49609;1984;11116603;444664
33;52396;2095;11137935;445517
34;51092;2043;11190569;447622
35;48722;1948;11083378;443335
36;49145;1965;11038093;441523
37;46666;1866;11254646;450185
38;46957;1878;11187622;447504
39;45272;1810;11201480;448059
40;45339;1813;11237082;449483
41;43743;1749;11207096;448283
42;44377;1775;11343271;453730
43;43739;1749;11348051;453922
44;45083;1803;11166984;446679
45;45720;1828;11268441;450737
46;44974;1798;11373198;454927
47;45860;1834;11228953;449158
48;44712;1788;11207791;448311
49;46803;1872;11127183;445087
50;43805;1752;11371298;454851
THREADS; MESSAGES; WORK-UNITS
1;0;190202
1;0;182800
1;0;187421
1;0;185228
1;0;185553
1;0;185262
1;0;188219
1;0;185335
1;0;184928
1;0;185574
1;0;183647
1;0;188748
1;0;186288
1;0;184663
1;0;177200
1;0;186996
1;0;183811
1;0;186708
1;0;185265
1;0;185813
1;0;188955
1;0;184906
1;0;187380
1;0;180815
1;0;185608


THREADS; MESSAGES; WORK-UNITS
2;0;287261
2;0;283235
2;0;301895
2;0;283169
2;0;282440
2;0;283765
2;0;282767
2;0;283666
2;0;283189
2;1;305244
2;0;285071
2;0;282486
2;0;283127
2;0;283231
2;0;282395
2;0;288334
2;0;282937
2;0;295540
2;0;282426
2;0;282760
2;0;282471
2;0;283714
2;0;283858
2;0;287144
2;0;284828


THREADS; MESSAGES; WORK-UNITS
3;4;528855
3;1;530532
3;2;517918
3;3;529175
3;2;528112
3;2;528157
3;2;524271
3;1;529668
3;0;515633
3;1;531352
3;2;526396
3;3;528354
3;2;528505
3;3;528296
3;1;519313
3;1;528277
3;0;530601
3;0;531483
3;1;526545
3;1;524103
3;1;528323
3;1;531064
3;3;522372
3;2;514124
3;1;526117


THREADS; MESSAGES; WORK-UNITS
4;2;571241
4;1;532714
4;2;560619
4;1;529944
4;0;567705
4;3;557360
4;1;522341
4;2;547477
4;0;524531
4;1;596929
4;1;570089
4;1;561745
4;1;571479
4;2;574600
4;0;557223
4;2;569194
4;2;530839
4;1;571916
4;2;576311
4;3;522790
4;2;532506
4;1;572847
4;3;507913
4;1;557514
4;0;556967


THREADS; MESSAGES; WORK-UNITS
5;4;484614
