THREADS; TOTAL MESSAGES; AVERAGE MESSAGES; TOTAL WORK-UNITS; AVERAGE WORK-UNITS 
1;8745;349;4577544;183101
2;96564;3862;7637817;305512
3;211578;8463;10097141;403885
4;441968;17678;14391705;575668
5;1800073;72002;36687852;1467514
6;1836996;73479;37071535;1482861
7;1840607;73624;37159888;1486395
8;1843059;73722;37182173;1487286
9;1844110;73764;37223836;1488953
10;1843992;73759;37220171;1488806
11;1844138;73765;37246786;1489871
12;1844317;73772;37241736;1489669
13;1844268;73770;37225332;1489013
14;1843729;73749;37213035;1488521
15;1842292;73691;37205683;1488227
16;1844353;73774;37217949;1488717
17;1842910;73716;37209324;1488372
18;1840477;73619;37194068;1487762
19;1843278;73731;37223822;1488952
20;1843569;73742;37224823;1488992
21;1842485;73699;37215327;1488613
22;1842608;73704;37213231;1488529
23;1842792;73711;37232194;1489287
24;1843149;73725;37221580;1488863
25;1844239;73769;37242015;1489680
26;1843110;73724;37220088;1488803
27;1840199;73607;37202392;1488095
28;1841923;73676;37206482;1488259
29;1840329;73613;37191988;1487679
30;1841572;73662;37202485;1488099
31;1841090;73643;37205860;1488234
32;1844114;73764;37215015;1488600
33;1843598;73743;37218577;1488743
34;1841098;73643;37201764;1488070
35;1840934;73637;37212312;1488492
36;1841656;73666;37210931;1488437
37;1842199;73687;37221929;1488877
38;1844070;73762;37226593;1489063
39;1844318;73772;37238044;1489521
40;1842209;73688;37219239;1488769
41;1843400;73736;37230378;1489215
42;1843273;73730;37229176;1489167
43;1843259;73730;37243854;1489754
44;1841918;73676;37216183;1488647
45;1842006;73680;37210912;1488436
46;1840179;73607;37189232;1487569
47;1841965;73678;37209520;1488380
48;1840815;73632;37200910;1488036
49;1840904;73636;37205256;1488210
50;1841018;73640;37196707;1487868
THREADS; MESSAGES; WORK-UNITS
1;292;186278
1;236;176803
1;372;185387
1;356;180182
1;425;189159
1;293;183785
1;863;186761
1;0;171051
1;332;182565
1;252;180335
1;312;182520
1;236;181450
1;333;180266
1;574;188807
1;310;177618
1;344;185659
1;339;182199
1;331;185718
1;353;186246
1;306;180302
1;232;179311
1;322;188295
1;350;186233
1;312;181113
1;670;189501


THREADS; MESSAGES; WORK-UNITS
2;3711;271819
2;3753;308480
2;3762;305319
2;3719;314348
2;4431;317392
2;4673;312574
2;3747;310620
2;4458;317135
2;3738;311126
2;3707;308787
2;3961;306522
2;4318;313268
2;3735;307062
2;3750;303215
2;3728;308560
2;3711;286191
2;3786;304076
2;3733;311455
2;4056;316512
2;3736;306200
2;3681;285255
2;3760;318182
2;3673;293225
2;3729;306250
2;3508;294244


THREADS; MESSAGES; WORK-UNITS
3;8744;401414
3;8546;422491
3;7495;336868
3;8633;431772
3;8750;439143
3;8710;444955
3;8699;437428
3;7500;326094
3;8732;412591
3;7498;330456
3;8564;432822
3;8616;428323
3;8596;421901
3;7500;337281
3;7500;347426
3;8710;445844
3;7500;336842
3;8733;388630
3;8677;427124
3;9047;417730
3;8602;424628
3;9756;423656
3;8647;418500
3;9241;424284
3;8582;438938


THREADS; MESSAGES; WORK-UNITS
4;16148;544012
4;18324;585989
4;17345;557152
4;17450;557220
4;19513;607682
4;18492;602264
4;17362;557294
4;17394;574534
4;16146;542543
4;16186;537411
4;17908;598846
4;17721;590383
4;18084;583674
4;17418;557369
4;17923;583419
4;18106;590657
4;19406;615234
4;18128;588410
4;17794;565111
4;14871;555911
4;18248;602662
4;19611;595770
4;17494;560904
4;17515;574030
4;17381;563224


THREADS; MESSAGES; WORK-UNITS
5;72498;1472162
5;72480;1468569
5;72499;1473428
5;72500;1471583
5;72497;1469605
5;72499;1473909
