THREADS; TOTAL MESSAGES; AVERAGE MESSAGES; TOTAL WORK-UNITS; AVERAGE WORK-UNITS 
1;0;0;4556233;182249
2;0;0;7522804;300912
3;32;1;13563454;542538
4;37;1;14792450;591698
5;52;2;14093687;563747
6;79;3;13049818;521992
7;108;4;11926584;477063
8;134;5;11944093;477763
9;169;6;12000769;480030
10;205;8;11780880;471235
11;153;6;11891407;475656
12;158;6;12130153;485206
13;233;9;12304371;492174
14;763;30;12489452;499578
15;3368;134;12787618;511504
16;6899;275;12705582;508223
17;12255;490;12669529;506781
18;17065;682;12560548;502421
19;22073;882;12508945;500357
20;29523;1180;12212639;488505
21;32821;1312;12323573;492942
22;36515;1460;12257796;490311
23;38126;1525;12181710;487268
24;38192;1527;12116442;484657
25;41273;1650;12144581;485783
26;43614;1744;11977548;479101
27;43448;1737;12033453;481338
28;43257;1730;12355913;494236
29;45604;1824;12048285;481931
30;44796;1791;12200833;488033
31;45782;1831;12147871;485914
32;44955;1798;11922151;476886
33;44968;1798;11981356;479254
34;44545;1781;12040092;481603
35;42704;1708;12072064;482882
36;40497;1619;12233458;489338
37;37724;1508;12411659;496466
38;38470;1538;12359033;494361
39;37356;1494;12171879;486875
40;36102;1444;12539859;501594
41;36468;1458;12333145;493325
42;36461;1458;12500327;500013
43;35250;1410;12479905;499196
44;36112;1444;12750631;510025
45;37217;1488;12648111;505924
46;37440;1497;12212811;488512
47;37753;1510;12503248;500129
48;36407;1456;12619970;504798
49;36830;1473;12347497;493899
50;37253;1490;12585195;503407
THREADS; MESSAGES; WORK-UNITS
1;0;178886
1;0;173997
1;0;185806
1;0;185232
1;0;173856
1;0;179262
1;0;183006
1;0;175933
1;0;190874
1;0;186059
1;0;177705
1;0;183549
1;0;184316
1;0;184276
1;0;185239
1;0;177167
1;0;189420
1;0;177904
1;0;189548
1;0;184769
1;0;189973
1;0;177301
1;0;189309
1;0;169812
1;0;183034


THREADS; MESSAGES; WORK-UNITS
2;0;316659
2;0;316561
2;0;300998
2;0;301016
2;0;301176
2;0;301262
2;0;296050
2;0;301383
2;0;296093
2;0;296134
2;0;296183
2;0;300493
2;0;301175
2;0;296187
2;0;295977
2;0;301070
2;0;296025
2;0;296001
2;0;301214
2;0;300952
2;0;295983
2;0;296107
2;0;315590
2;0;301275
2;0;301240


THREADS; MESSAGES; WORK-UNITS
3;1;542757
3;1;545902
3;1;530967
3;3;548493
3;1;551345
3;3;543851
3;0;545486
3;2;536626
3;0;547759
3;0;534888
3;0;537233
3;3;529138
3;2;552198
3;2;549180
3;2;548966
3;1;535250
3;0;530323
3;2;542781
3;1;547876
3;1;531678
3;1;547070
3;2;539510
3;1;548641
3;0;541981
3;2;553555


THREADS; MESSAGES; WORK-UNITS
4;2;604502
4;1;597963
4;1;589514
4;4;594855
4;0;593126
4;1;600572
4;0;587513
4;0;584609
4;2;587568
4;1;594637
4;1;584494
4;0;585126
4;2;588941
4;2;595242
4;1;600090
4;3;589630
4;1;605956
4;2;593337
4;2;583011
4;1;591357
4;1;588504
4;2;573919
4;3;593789
4;2;586469
4;2;597726


THREADS; MESSAGES; WORK-UNITS
