THREADS; TOTAL MESSAGES; AVERAGE MESSAGES; TOTAL WORK-UNITS; AVERAGE WORK-UNITS 
1;0;0;4656603;186264
2;2;0;7833559;313342
3;36;1;12938339;517533
4;62;2;11795655;471826
5;42;1;10704510;428180
6;36;1;9995863;399834
7;15668;626;13296206;531848
8;37476;1499;13588490;543539
9;50499;2019;13767931;550717
10;56527;2261;13565221;542608
11;58144;2325;13529259;541170
12;55220;2208;13746017;549840
13;56454;2258;13473188;538927
14;55370;2214;13216585;528663
15;57992;2319;13146967;525878
16;59302;2372;13041934;521677
17;65180;2607;12941848;517673
18;72441;2897;12870840;514833
19;83874;3354;12523832;500953
20;85978;3439;12509104;500364
21;89939;3597;12482524;499300
22;91814;3672;12477473;499098
23;95157;3806;12479951;499198
24;98080;3923;12376690;495067
25;97069;3882;12267718;490708
26;99247;3969;12411695;496467
27;101282;4051;12320360;492814
28;101504;4060;12336057;493442
29;101572;4062;12129682;485187
30;105157;4206;12439733;497589
31;103509;4140;12347314;493892
32;101149;4045;12422076;496883
33;104703;4188;12298312;491932
34;103119;4124;12498165;499926
35;101292;4051;12629036;505161
36;104666;4186;12531493;501259
37;99811;3992;12364198;494567
38;99629;3985;12551568;502062
39;102446;4097;12659779;506391
40;102274;4090;12406022;496240
41;97287;3891;12366602;494664
42;91579;3663;12694885;507795
43;99480;3979;12668367;506734
44;96297;3851;12688026;507521
45;96692;3867;12685307;507412
46;92007;3680;12499451;499978
47;92176;3687;12830146;513205
48;87210;3488;12465909;498636
49;94374;3774;12558588;502343
50;80750;3230;12275779;491031
THREADS; MESSAGES; WORK-UNITS
1;0;189389
1;0;183762
1;0;189222
1;0;179781
1;0;196186
1;0;178860
1;0;191170
1;0;192580
1;0;177517
1;0;192278
1;0;177970
1;0;188368
1;0;183559
1;0;192156
1;0;184850
1;0;189863
1;0;184540
1;0;182786
1;0;182351
1;0;190261
1;0;183368
1;0;188883
1;0;187488
1;0;180780
1;0;188635


THREADS; MESSAGES; WORK-UNITS
2;0;293934
2;0;294487
2;0;334869
2;0;333487
2;0;301653
2;0;325602
2;0;277432
2;0;296226
2;0;317024
2;0;331198
2;1;295600
2;0;332184
2;0;339127
2;0;300574
2;0;292063
2;0;325728
2;0;332569
2;0;324327
2;1;314442
2;0;327564
2;0;329332
2;0;280193
2;0;305786
2;0;329294
2;0;298864


THREADS; MESSAGES; WORK-UNITS
3;2;519133
3;2;514305
3;0;509086
3;1;521334
3;3;516987
3;1;510201
3;3;519152
3;2;528973
3;1;515704
3;1;508766
3;1;527286
3;1;519999
3;2;515607
3;0;515160
3;2;511820
3;2;516322
3;2;513118
3;0;526013
3;1;516445
3;2;511253
3;1;516396
3;2;523678
3;1;523844
3;1;516852
3;2;520905


THREADS; MESSAGES; WORK-UNITS
4;2;435995
4;3;435566
4;4;435488
4;4;435883
4;1;439936
4;1;435621
4;2;435671
4;3;448882
4;1;435683
4;3;435554
4;1;435948
4;1;435608
4;4;433778
4;2;437876
4;3;426506
4;2;613145
4;2;424639
4;4;590047
4;4;423947
4;1;461065
4;4;444117
4;2;627493
4;3;600409
4;3;615580
4;2;451218


THREADS; MESSAGES; WORK-UNITS
5;2;364312
5;3;408545
5;3;387407
5;1;408689
5;1;545825
5;1;375045
5;1;408394
5;2;400643
5;2;408704
5;4;387682
5;2;383293
5;0;390630
5;4;622356
5;2;397972
5;1;387264
5;0;399286
5;2;398447
5;0;387011
5;2;619389
5;2;387331
5;1;412727
5;3;387249
5;2;408844
5;0;619605
5;1;407860


THREADS; MESSAGES; WORK-UNITS
6;4;372698
6;2;368539
6;2;372562
6;1;372202
6;1;368710
6;2;372286
6;0;721370
6;2;371704
6;0;371830
6;4;371853
6;0;372032
6;1;371997
6;0;371791
6;3;371327
6;0;371202
6;1;371761
6;1;371881
6;4;366833
6;2;372898
6;2;372173
6;1;372074
6;0;717665
6;1;371453
6;1;385153
6;1;371869


THREADS; MESSAGES; WORK-UNITS
7;852;510488
7;782;563113
7;467;476398
7;1028;576962
7;610;539129
7;1066;552110
7;795;538772
7;959;542374
7;925;567108
7;3;466616
7;3;475824
7;682;535817
7;963;558631
7;188;510434
7;9;469923
7;705;571803
7;787;527584
7;435;545901
7;264;475807
7;1005;573386
7;744;536025
7;589;598107
7;1049;563398
7;724;563617
7;34;456879


THREADS; MESSAGES; WORK-UNITS
8;1800;570154
8;1329;529134
8;1394;529319
8;1810;534269
8;757;533029
8;2002;530005
8;646;555305
8;1649;538250
8;1802;533951
8;1643;573672
8;1755;534232
8;889;541870
8;1915;574110
8;1565;555330
8;1759;534342
8;1002;533366
8;1817;534119
8;1604;551791
8;1251;529030
8;1533;573001
8;1812;534154
8;1132;568775
8;1734;534012
8;1517;533819
8;1359;529451


THREADS; MESSAGES; WORK-UNITS
9;1919;529936
9;1569;551647
9;1590;551372
9;2057;547601
9;2299;552081
9;2394;547974
9;1914;551821
9;2060;560758
9;2157;552138
9;2024;556169
9;1923;551363
9;2081;547576
9;1950;547380
9;1824;560565
9;2149;556138
9;2124;543310
9;1743;569656
9;1878;557085
9;2501;548077
9;1916;551534
9;1792;564687
9;2102;552124
9;2403;517047
9;1750;569457
9;2380;530435


THREADS; MESSAGES; WORK-UNITS
10;2168;534227
10;2434;547906
10;2247;543536
10;2315;552101
10;2529;512731
10;1811;552060
10;1974;554706
10;2764;535113
10;1919;556469
10;2199;530378
10;2305;536109
10;2066;516459
10;2653;556878
10;2585;561414
10;2591;556628
10;2854;513098
10;1621;560085
10;2061;547534
10;2637;530351
10;1959;547374
10;1763;560433
10;2400;547739
10;2523;517141
10;2566;530625
10;1583;564126


THREADS; MESSAGES; WORK-UNITS
11;2365;561167
11;2656;547106
11;2395;526171
11;1879;556328
11;2309;547851
11;2379;552170
11;2256;547983
11;2493;517139
11;2495;526181
11;1863;569303
11;2470;556933
11;2601;552831
11;2266;560490
11;2210;565729
11;2999;513120
11;2265;552074
11;2025;512285
11;2523;517041
11;2015;516532
11;2378;552947
11;1886;551875
11;2232;548027
11;2981;517726
11;1759;529722
11;2444;530528


THREADS; MESSAGES; WORK-UNITS
12;1838;551762
12;2045;552126
12;2413;521849
12;2105;530245
12;2258;552103
12;1935;613805
12;2118;525865
12;1917;560659
12;2029;543404
12;2347;526060
12;2072;556554
12;2243;556987
12;2394;548055
12;2397;556705
12;2774;513130
12;1897;569835
12;1826;564973
12;2375;552104
12;2519;557015
12;2554;526624
12;1719;569229
12;2441;548577
12;2886;526620
12;1805;565041
12;2313;556690


THREADS; MESSAGES; WORK-UNITS
13;2320;543522
13;1958;556568
13;2434;526228
13;2109;538776
13;2245;553872
13;2426;548265
13;2796;531106
13;2027;512246
13;2111;560894
13;2368;530764
13;1939;543138
13;2091;556375
13;2231;542526
13;1985;560295
13;2512;543565
13;2044;551892
13;2360;556596
13;2842;513055
13;2720;512784
13;1825;556231
13;2276;516910
13;2563;527049
13;2374;535072
13;1656;525119
13;2242;530340


THREADS; MESSAGES; WORK-UNITS
14;1641;551726
14;1962;538502
14;2496;512638
14;2673;530871
14;1685;551883
14;2578;517354
14;2091;530297
14;2511;526295
14;1914;547450
14;2104;521401
14;2832;517673
14;1888;525639
14;2699;513067
14;1958;551955
14;2308;521519
14;2761;512953
14;1744;525304
14;2527;530763
14;1906;542893
14;1902;525469
14;2570;530919
14;1619;525204
14;2880;512752
14;2444;526544
14;1677;525514


THREADS; MESSAGES; WORK-UNITS
15;2773;512686
15;2381;526001
15;1837;552013
15;2517;526118
15;2307;521290
15;2741;508321
15;1834;516765
15;2828;512938
15;1907;565776
15;2526;526253
15;2026;503468
15;2843;508860
15;1847;525574
15;2417;531188
15;2645;526127
