THREAD; AVERAGE-REPETITIONS; MIN-REPETITIONS; MAX-REPETITIONS (nanoseconds)
1;16266532724;860447366;40454173510
2;924760363;3309719;1506790206
3;692295787;2815274;850678295
4;585745899;2468710;742465075
5;514156157;2380389;638009802
6;401827410;2299672;559808836
7;431119326;2255283;566145309
8;377344525;2230275;545970080
9;334634116;2249710;478968254
10;315129552;2252663;468280116
11;306976319;2285963;490132726
12;311778723;2338146;479568450
13;326631440;2411895;493286037
14;318053234;2472252;493864136
15;322488175;2566111;488186411
16;321877910;2670993;486449233
17;319535599;2711956;493693631
18;314739536;2837391;492038351
19;319268609;2897326;484510808
20;317092950;3026144;481938400
21;315572404;3146265;492424570
22;316610894;3093736;488133310
23;317214652;3197210;479415554
24;316742200;3430790;472073431
25;314345748;3549004;487786436
26;310532580;3571613;483564796
27;309025147;3868528;478912314
28;308370703;3607455;476071419
29;307145928;4077339;479465264
30;307827840;4325130;483445613
31;306936690;4539384;462878326
32;308539953;4784080;475562793
33;309343329;4887135;475797395
34;308530907;4608812;483727864
35;310237225;4819430;461361597
36;310965618;5248180;471862555
37;309925169;5297178;476219731
38;309508281;5493589;462185470
39;308002559;5340002;474990173
40;309086696;5900367;471509152
41;308163494;5507364;464819699
42;308187144;5554228;468385088
43;309952742;5725283;480271506
44;308051560;5925230;475237623
45;307962790;5851992;482599500
46;307817774;5913854;479648388
47;306826165;5997209;458925751
48;307915498;6332601;469596627
49;308006082;6049271;477866633
50;309241497;6093450;473876886
THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
1;1;16599297494;959369487;43036240989
1;2;15604927013;289329440;32637981922
1;3;16538581165;1026099266;38353883384
1;4;15807739846;289770348;40692335618
1;5;15857868516;2542732736;41798809206
1;6;16932945956;2992122323;52592316971
1;7;15867178718;304026768;40280096283
1;8;15706341227;1822208619;40425502333
1;9;16597114910;319348618;43394921981
1;10;16073940660;303917677;38260137392
1;11;16118579864;301389492;30605293969
1;12;17179568534;305287892;42074432784
1;13;16199525781;2912352128;35203375290
1;14;16726302965;304426401;41147469860
1;15;15904466939;304682509;42217488745
1;16;15716933297;929612772;37924217254
1;17;16918587762;303243778;48406699316
1;18;15916652605;303833587;38552543620
1;19;16303890949;2552994026;41726053032
1;20;16765194298;303563372;42176858162
1;21;15789753797;289789345;42257286890
1;22;15839382443;303053531;40398776520
1;23;16099530032;301737581;40347336044
1;24;16127159621;304928839;40838770430
1;25;17471853725;941363637;36005509778


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
2;1;920176794;3259842;1156926928
2;2;913151023;3260330;1169411406
2;3;956516559;3482845;2015587387
2;4;916209949;3101232;1160625932
2;5;913364298;3235746;1507857284
2;6;911865369;3313410;1480938290
2;7;939370062;3268991;1895177739
2;8;949278633;3504355;2045028558
2;9;921408224;3376127;1680522804
2;10;938328008;3431930;1641781637
2;11;914544755;3229461;1474313076
2;12;921017583;3272343;1529861337
2;13;917883523;3305936;1477217496
