THREAD; AVERAGE-REPETITIONS; MIN-REPETITIONS; MAX-REPETITIONS (nanoseconds)
1;0;0;0
2;16588094256;12055957008;21335897609
3;39331457945;7807412313;52591433321
4;13489818903;5625638705;42983094432
5;16393875926;3323831702;44680479533
6;16676341322;2676107016;47128900284
7;13279648106;2223849316;44833919886
8;14437095022;2370260292;51230456161
9;16320268297;2156536638;52367920607
10;14953495185;2228184026;48848958130
11;16047888927;2405911424;48557523945
12;15785347121;2187783114;48912511442
13;14933921281;2248853789;46291673760
14;13827015279;2509837828;46104852133
15;14301737193;2195164092;45085759592
16;16070352218;2325454008;46909858328
17;14477726742;2228377953;43975186731
18;14669969855;2068557657;44505835749
19;15059085972;2294193382;48389767258
20;14286199326;2093697914;46755400599
21;15148668959;2177193961;48371636386
22;15139318427;2088824289;49084841291
23;13922409422;2096672294;45998860791
24;14004366061;2131468669;46602281376
25;14764467959;2073787618;51364142604
26;14628953900;2076896655;46883125050
27;15001270560;2122030330;48600380651
28;13022122605;2116176209;48108851250
29;14865285555;2063557119;47473840929
30;13906639193;2099421940;44740434535
31;15421049704;2069727515;51241632604
32;13687915516;2119999502;48063757080
33;14699025031;2097468158;50147789210
34;15063676642;2077554932;49603673986
35;14543741804;2073931035;47556262522
36;14842047713;2092233635;48366099521
37;15032105932;2018077884;47958357525
38;15111610232;2150004679;51570186029
39;13735454961;1909450882;49152233252
40;14121647717;2039620840;47596250096
41;13275808842;1966272294;45110502295
42;15223176327;1943408743;49790003086
43;15092261101;1986196329;48877525769
44;14275065925;1867602868;47354331670
45;14620095338;1910836005;46366748595
46;16155354152;1826343107;51024503784
47;14016836245;1752657044;49748407685
48;15178847500;1906338688;44861697727
49;14239891664;1769033980;48316707508
50;14730691286;1792160861;50150082513
THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
1;1;0;0;0
1;2;0;0;0
1;3;0;0;0
1;4;0;0;0
1;5;0;0;0
1;6;0;0;0
1;7;0;0;0
1;8;0;0;0
1;9;0;0;0
1;10;0;0;0
1;11;0;0;0
1;12;0;0;0
1;13;0;0;0
1;14;0;0;0
1;15;0;0;0
1;16;0;0;0
1;17;0;0;0
1;18;0;0;0
1;19;0;0;0
1;20;0;0;0
1;21;0;0;0
1;22;0;0;0
1;23;0;0;0
1;24;0;0;0
1;25;0;0;0


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
2;1;22042686710;13868448993;30216924428
2;2;13762374059;13762374059;13762374059
2;3;0;0;0
2;4;13155713785;12100315962;14211111608
2;5;24768659587;10359242935;52214699005
2;6;17831298915;17823465483;17839132348
2;7;19575820285;8783502931;30368137640
2;8;15160154398;12742815637;17577493159
2;9;16455329867;14525565610;18385094125
2;10;20372971599;10310456287;30435486912
2;11;15286906122;10714456936;19859355309
2;12;10780229191;10777879451;10782578931
2;13;17134839484;17134839484;17134839484
2;14;12852012057;11835791071;13868233044
2;15;10347790711;10347790711;10347790711
2;16;24424474828;24424474828;24424474828
2;17;10443135859;10443135859;10443135859
2;18;18100974810;13007813703;23194135917
2;19;21020788047;12093689910;29947886184
2;20;10695693796;10695693796;10695693796
2;21;14066309615;10489779428;17642839803
2;22;12996124647;10349925200;16908046623
2;23;18868882241;8525406721;30371706809
2;24;40157193819;11880576303;58363769627
2;25;14401991978;14401483918;14402500038


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
3;1;42545080284;7802091746;55414630980
3;2;33895414539;7560056027;44799634870
3;3;43088622274;5226235108;57235153490
3;4;33624915205;5711661748;57486689510
3;5;36195149558;5247731974;48642836869
3;6;35745745728;5037561129;47555808070
3;7;42016265908;8183211064;56366875958
3;8;36558741717;5206942922;48681264029
3;9;43597851699;7784596017;57608687906
3;10;43718984108;8161189691;57813088674
3;11;41275521582;5407348141;54610529551
3;12;34104962274;7564344212;46068062631
3;13;43480091766;31054900692;57830320613
3;14;39160587043;5250537918;51459467894
3;15;37617933638;7645361351;49318282701
3;16;37471646643;11079589096;47842329891
3;17;38360895407;7555285099;50232574252
3;18;42918534559;7865437157;56711872738
3;19;40814206041;7811990700;53495407377
3;20;42295879480;7529269852;55964440592
3;21;35774323635;5184177319;47159341830
3;22;45356411530;7814064497;59355132706
3;23;35057176124;7133003706;48132563147
3;24;41876918930;5115830504;55695817974
3;25;36734588955;5252890172;49305018794


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
4;1;12973431657;9303324375;43079093083
4;2;29713856521;3602801054;58113525043
4;3;13409562960;3642200894;40512843392
4;4;12736822686;9513959316;42695908418
4;5;11905377113;9361373652;44025200060
4;6;12785865895;3855780902;44730899528
4;7;12587733183;3708242109;49740515834
4;8;16405642687;2837059529;45891581821
4;9;11927171231;9357559690;45261262605
4;10;14245168657;3661059576;45021669095
4;11;13131900885;3632343636;57281299579
4;12;12608229234;4332930093;15882087248
4;13;10718825792;3956144216;56369566802
4;14;12038747022;8968214676;14873085266
4;15;11170585599;9686814106;13347055561
4;16;13692749234;3937937782;53008678966
4;17;13247086469;3635862798;54983244239
4;18;13289093775;9559658630;56948651994
4;19;12884897577;3888217148;48130594531
4;20;13650115781;3651704476;53524704187
4;21;11798365792;4925579439;42524102016
4;22;10870183007;9693405726;44004934845
4;23;15047598295;3608124077;42654904604
4;24;12538808209;3910146611;46280042715
4;25;11867653326;4410523125;15691909377


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
5;1;13742747792;5224146435;22587294474
5;2;20759019571;2651135899;47709733780
5;3;14199898563;3392357688;27188142906
5;4;14803783113;3245387752;57835724932
5;5;14045957003;5017717196;58297977816
5;6;20624001742;3487552887;58991501433
5;7;14935463900;3434371756;58316388675
5;8;13744367858;2507507798;22486424742
5;9;13321385121;2177751083;22062150916
5;10;23490269254;5118731571;57560484503
5;11;13485473630;2257034553;24580113045
5;12;15259054055;2596686311;54382998957
5;13;14116631603;3264829539;56917680180
5;14;14194786753;4073897311;58813307836
5;15;13576477497;3328880626;22475524753
5;16;13619193943;3231413839;57195227955
5;17;21059973484;3152442978;42528479947
5;18;14012404406;3371885813;22420380872
5;19;14804067134;3342906640;57909363131
5;20;13623397932;3338873796;22651261962
5;21;20908828391;2352802661;58960844325
5;22;13721176400;3257750566;57833132074
5;23;23540643655;3087939878;58874437533
5;24;19355017138;3100995796;36470289171
5;25;20902878213;3080792181;51963122408


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
6;1;27705774710;2872854022;58472754010
6;2;12982521570;2071983660;44037497643
6;3;13416282318;3228093165;37813702859
6;4;14543224386;2082417388;36642181199
6;5;15172612489;2109243284;46232875198
6;6;15333792171;2090596570;46483489242
6;7;26893894353;2321431913;57999599251
6;8;18769576155;4341770602;57604918712
6;9;16899851072;2007424617;49804704439
6;10;12007818418;2068225641;57994867574
6;11;12367202078;2099658267;57865646332
6;12;13975913180;4084230398;43951683873
6;13;23244886091;2050141568;57957437398
6;14;15526975938;3424153628;45877510689
6;15;17062446971;3774923279;49756709512
6;16;22815886481;1883178868;53316718395
6;17;18089668234;2285544462;32838823719
6;18;9706433604;2063728281;51482572505
6;19;17822998729;2103140134;34868964491
6;20;14362606611;4780342334;49276164289
6;21;15627568903;2007783601;41277504334
6;22;13547498283;2027600366;23174261254
6;23;14080978956;4805372051;34302044534
6;24;18044243073;2152385290;57989932310
6;25;16907878284;2166452021;51199943359


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
7;1;23727233687;1811631506;57902693150
7;2;10841253536;2004318216;22514151869
7;3;18130075267;3806966528;38213230312
7;4;14260824255;1949120280;56828546016
7;5;11867879086;2631826252;20445529180
7;6;11194436522;1911748561;38941080710
7;7;12922160448;2004985620;26606271398
7;8;10780721655;1762975742;47731504563
7;9;11818279297;1909527817;56841669332
7;10;16073769547;2044901168;46641744831
7;11;11135413025;1937318221;50011059996
7;12;18625254493;2004716032;53026564969
7;13;12425914034;3051243594;56601706921
7;14;11728877922;2066673767;56482983941
7;15;10826823628;1975188397;56908783169
7;16;18160421278;3391384659;52891135326
7;17;10638203521;1946410019;47070525374
7;18;13146103713;1974029590;26494466685
7;19;18644630789;3899294953;49277496512
7;20;11260530305;1915016084;49564313342
7;21;10911247117;1894235929;49531722467
7;22;10859725603;1726945185;49476713870
7;23;10705772282;2005994407;20583952639
7;24;10759417992;1986563096;33827096600
7;25;10546233667;1983217280;56433053991


