THREAD; AVERAGE-REPETITIONS; MIN-REPETITIONS; MAX-REPETITIONS (nanoseconds)
1;0;0;0
2;0;0;0
3;0;0;0
4;0;0;0
5;7015267067;6413291935;7567403790
6;31717470515;30323620756;32812937675
7;18798212265;17284601573;20718557917
8;15514794627;14283625832;17092883215
9;15452519332;14775080126;16452082834
10;12880212247;12417230175;13550554889
11;12000618413;11210741091;12790495736
12;9043140499;8670708087;9415572912
13;1565105296;1565105296;1565105296
14;0;0;0
15;0;0;0
16;0;0;0
17;1713425695;1713425695;1713425695
18;1683364095;1683364095;1683364095
19;1111699558;396793489;1826605627
20;0;0;0
21;1919836627;1919836627;1919836627
22;0;0;0
23;2030109921;2023014668;2037205175
24;1991458797;1991458797;1991458797
25;1963058669;1834079498;2028305351
26;7976309468;7842285170;8090688391
27;5930301971;5826784552;6054966840
28;9583752215;9142116098;9815064531
29;7641912223;7391499886;7850385191
30;13675870918;13611406919;13737145014
31;17373817170;16288802395;17715346604
32;17462794318;15631328842;18587233849
33;7609913802;7498059627;7792330790
34;21545819637;20380830136;21850331159
35;16771912381;15917493938;17072777987
36;16872241695;16358670808;17385812582
37;20394109029;20052762337;20863329632
38;15410735028;15211355515;15674029302
39;11343910646;10412933585;12330637611
40;22091356747;21798715317;22383998178
41;21581200269;21384395919;21778004620
42;3601360784;3601360784;3601360784
43;15729556985;15538203475;15920910495
44;10790842477;10738651186;10843033768
45;10665162703;10597604703;10732720703
46;2076989013;1950668073;2227457492
47;5368305899;5368305899;5368305899
48;6229351353;6229351353;6229351353
49;8409789478;8409789478;8409789478
50;6045965794;6001182465;6090749123
THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
1;1;0;0;0
1;2;0;0;0
1;3;0;0;0
1;4;0;0;0
1;5;0;0;0
1;6;0;0;0
1;7;0;0;0
1;8;0;0;0
1;9;0;0;0
1;10;0;0;0
1;11;0;0;0
1;12;0;0;0
1;13;0;0;0
1;14;0;0;0
1;15;0;0;0
1;16;0;0;0
1;17;0;0;0
1;18;0;0;0
1;19;0;0;0
1;20;0;0;0
1;21;0;0;0
1;22;0;0;0
1;23;0;0;0
1;24;0;0;0
1;25;0;0;0


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
2;1;0;0;0
2;2;0;0;0
2;3;0;0;0
2;4;0;0;0
2;5;0;0;0
2;6;0;0;0
2;7;0;0;0
2;8;0;0;0
2;9;0;0;0
2;10;0;0;0
2;11;0;0;0
2;12;0;0;0
2;13;0;0;0
2;14;0;0;0
2;15;0;0;0
2;16;0;0;0
2;17;0;0;0
2;18;0;0;0
2;19;0;0;0
2;20;0;0;0
2;21;0;0;0
2;22;0;0;0
2;23;0;0;0
2;24;0;0;0
2;25;0;0;0


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
3;1;0;0;0
3;2;0;0;0
3;3;0;0;0
3;4;0;0;0
3;5;0;0;0
3;6;0;0;0
3;7;0;0;0
3;8;0;0;0
3;9;0;0;0
3;10;0;0;0
3;11;0;0;0
3;12;0;0;0
3;13;0;0;0
3;14;0;0;0
3;15;0;0;0
3;16;0;0;0
3;17;0;0;0
3;18;0;0;0
3;19;0;0;0
3;20;0;0;0
3;21;0;0;0
3;22;0;0;0
3;23;0;0;0
3;24;0;0;0
3;25;0;0;0


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
4;1;0;0;0
4;2;0;0;0
4;3;0;0;0
4;4;0;0;0
4;5;0;0;0
4;6;0;0;0
4;7;0;0;0
4;8;0;0;0
4;9;0;0;0
4;10;0;0;0
4;11;0;0;0
4;12;0;0;0
4;13;0;0;0
4;14;0;0;0
4;15;0;0;0
4;16;0;0;0
4;17;0;0;0
4;18;0;0;0
4;19;0;0;0
4;20;0;0;0
4;21;0;0;0
4;22;0;0;0
4;23;0;0;0
4;24;0;0;0
4;25;0;0;0


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
5;1;0;0;0
5;2;0;0;0
5;3;0;0;0
5;4;0;0;0
5;5;0;0;0
5;6;0;0;0
5;7;42337527697;42333857166;42342158221
5;8;0;0;0
5;9;0;0;0
5;10;0;0;0
5;11;0;0;0
5;12;34976438904;34976438904;34976438904
5;13;0;0;0
5;14;0;0;0
5;15;0;0;0
5;16;0;0;0
5;17;54092559809;54092559809;54092559809
5;18;0;0;0
5;19;43975150287;28929442500;57773937819
5;20;0;0;0
5;21;0;0;0
5;22;0;0;0
5;23;0;0;0
5;24;0;0;0
5;25;0;0;0


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
6;1;38281325699;38281325699;38281325699
6;2;30691313770;21983082346;39399545194
6;3;51193213833;38282531368;53727636263
6;4;0;0;0
6;5;0;0;0
6;6;40512648325;40512648325;40512648325
6;7;37153576013;37153576013;37153576013
6;8;40651063578;40650338172;40651788984
6;9;41146225044;41139177186;41153272902
6;10;0;0;0
6;11;41523299586;36290757693;51979381807
6;12;40215094830;39747474958;40682714703
6;13;53658443183;53658443183;53658443183
6;14;45420897628;45420897628;45420897628
6;15;39193650171;38727724544;39659575799
6;16;48989051401;48989051401;48989051401
6;17;41998850762;39061795633;44935905891
6;18;42011937020;38472865895;43244162875
6;19;35008161861;35008161861;35008161861
6;20;43264847279;43264847279;43264847279
6;21;40497781911;40497781911;40497781911
6;22;41525380984;40948037810;42102724159
6;23;0;0;0
6;24;0;0;0
6;25;0;0;0


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
7;1;0;0;0
7;2;0;0;0
7;3;39236844877;34255993428;49031251946
7;4;37292599548;28818989844;50982174480
7;5;41898629086;41898629086;41898629086
7;6;35984119489;34320142364;39311380078
7;7;0;0;0
7;8;0;0;0
7;9;0;0;0
7;10;0;0;0
7;11;0;0;0
7;12;28275199432;28275199432;28275199432
7;13;34761127276;34428284321;35425354829
7;14;22973429549;17346703981;28600155118
7;15;33607172594;33605988122;33608357067
7;16;0;0;0
7;17;34667289452;34098901396;35235677509
7;18;24965277360;17217901576;32329549006
7;19;0;0;0
7;20;0;0;0
7;21;0;0;0
7;22;27251227088;19848989467;33180753909
7;23;42215722669;42215722669;42215722669
7;24;32126334038;31083259464;33169408612
7;25;34700334190;34700334190;34700334190


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
8;1;49573923641;49573923641;49573923641
8;2;0;0;0
8;3;34879770544;34879770544;34879770544
8;4;30654452637;30653728337;30654819398
8;5;0;0;0
8;6;18674607457;18674607457;18674607457
8;7;34979683346;34977599737;34981766956
8;8;0;0;0
8;9;0;0;0
8;10;32000957990;22180403026;43848505887
8;11;27806042504;24646235485;33235286817
8;12;0;0;0
8;13;32673347799;32156279918;33190415681
8;14;0;0;0
8;15;0;0;0
8;16;0;0;0
8;17;30537069655;26882949509;37845094208
8;18;28596856443;28596856443;28596856443
8;19;0;0;0
8;20;35530458497;31392099276;46118823552
8;21;0;0;0
8;22;31962695172;22476192436;35722209807
8;23;0;0;0
8;24;0;0;0
8;25;0;0;0


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
9;1;0;0;0
9;2;45419901831;45419901831;45419901831
9;3;0;0;0
9;4;0;0;0
9;5;33652598130;33169647819;35096814190
9;6;0;0;0
9;7;0;0;0
9;8;33275298607;33275298607;33275298607
9;9;0;0;0
9;10;0;0;0
9;11;0;0;0
9;12;34017281456;33523240384;34511322528
9;13;26726510631;20502090000;30298716736
9;14;0;0;0
9;15;33487985624;33487985624;33487985624
9;16;37643675104;37643675104;37643675104
9;17;37224526563;32351544890;51841564430
9;18;32880525947;32880525947;32880525947
9;19;0;0;0
9;20;0;0;0
9;21;37892495729;33515517475;42269473983
9;22;0;0;0
9;23;34092183679;33607575474;34576791884
9;24;0;0;0
9;25;0;0;0


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
10;1;50008876967;50008876967;50008876967
10;2;37734283669;34601267060;45730472867
10;3;0;0;0
10;4;0;0;0
10;5;0;0;0
10;6;36282642207;36282642207;36282642207
10;7;0;0;0
10;8;0;0;0
10;9;0;0;0
10;10;33208722547;33208722547;33208722547
10;11;0;0;0
10;12;45270751904;37153349099;53388154710
10;13;0;0;0
10;14;0;0;0
10;15;0;0;0
10;16;53631088519;53631088519;53631088519
10;17;0;0;0
10;18;0;0;0
10;19;0;0;0
10;20;34682083383;34357951010;35327057419
10;21;0;0;0
10;22;0;0;0
