THREAD; AVERAGE-REPETITIONS; MIN-REPETITIONS; MAX-REPETITIONS (nanoseconds)
1;27124146795;4441433821;56675613168
2;9623279537;552025600;36742293643
3;1038142069;3046169;1993000344
4;795834313;2875532;1155554574
5;641589394;2736744;905271399
6;620158503;2572486;856837273
7;656532023;2531738;856928754
8;573486562;2474951;812993204
9;482379689;2430250;766547949
10;442182882;2364294;781481110
11;460898043;2412884;758449584
12;520643254;2418318;761745392
13;563222588;2487324;758982691
14;549730904;2584736;775982880
15;547461982;2692191;774323370
16;540591339;2753523;778238837
17;548052525;2841861;777197702
18;557473595;2942622;801393029
19;557434083;2943117;777304171
20;558441601;3037148;812914479
21;548705362;3284833;775847016
22;544906953;3361072;789785925
23;542089684;3474408;786682491
24;538448861;3548132;774853326
25;545491074;3776725;767256539
26;549121213;3849653;766549824
27;547747920;4037895;811899414
28;548069171;4167323;764301854
29;550187206;4348496;755821765
30;552392300;4679094;793050848
31;555157221;4910079;784326329
32;548881653;5090756;777682861
33;542811124;5080081;796496543
34;545682423;5259894;799788797
35;545258001;5169475;786289819
36;544262909;5656316;759161572
37;540330780;5746618;743912388
38;538444075;5650184;818935655
39;540158959;5881750;768062069
40;537556962;6075931;786898183
41;541476641;6130438;771758483
42;538238288;6037376;783179613
43;544666136;6091615;801441971
44;551701639;6383196;785643409
45;551346340;6126356;768163789
46;552314079;6788907;764117450
47;544479744;6315861;785199236
48;531499048;6165848;823236422
49;518010167;6618472;769466962
50;516110700;6906668;788434700
THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
1;1;26789949220;6588784538;57974278435
1;2;28988496623;5070887152;57866520396
1;3;29755000322;5452530768;57950796680
1;4;26262491468;8816017957;55670099272
1;5;28341930592;5486140348;57043453428
1;6;24788059560;2075650397;51196833955
1;7;26715007622;9006953258;55850145759
1;8;24522558374;8799261987;56489678087
1;9;26333641824;5592103117;57014153056
1;10;29947580418;380545223;57277096531
1;11;29701876352;382645001;58167107342
1;12;26056077444;7624887312;57700225378
1;13;28614936969;383496925;57806405842
1;14;25381334376;2971506225;54389626265
1;15;20270530963;11089934195;49231548144
1;16;26682771456;4679990543;57457361760
1;17;24948983714;398222889;57732985408
1;18;28820339282;382009027;57991734425
1;19;27226353928;381325839;57900596235
1;20;28617763147;2025499680;57932477661
1;21;24670330002;6531086702;57482505319
1;22;27302385691;7193865351;56445539447
1;23;30463188210;2836553668;58155497976
1;24;25139670191;5647712768;54336586144
1;25;31762412129;1238234677;59827076277


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
2;1;10330348736;210234122;38905637937
2;2;11843804353;224925025;38156632128
2;3;10034307828;192537040;36562575061
2;4;9079886044;1459546185;36440908202
2;5;9353437633;710353411;36039473243
2;6;8742096168;215316472;42318111310
2;7;8043027474;9166598;25440642526
2;8;8845650505;196964558;31247928298
2;9;9086694054;224087209;33798196419
2;10;11363909481;238936583;46838616150
2;11;9431306837;222031012;32531407693
2;12;8686332056;800729283;40785905471
