THREAD; AVERAGE-REPETITIONS; MIN-REPETITIONS; MAX-REPETITIONS (nanoseconds)
1;0;0;0
2;4125757499;4125757499;4125757499
3;22137043092;20505581064;23718987544
4;21928236755;19019851654;25024253174
5;16172077909;14765200683;18069302006
6;9469675791;8735737002;10428520409
7;49862955351;15723603865;58357882122
8;38010144384;11117167254;57088585186
9;38736605065;13466496957;58276246785
10;36936582419;12729513538;57964490933
11;36424365975;12607383804;57399082601
12;37601053200;14653434107;56935909631
13;36191404114;14532312416;57195593043
14;34797602174;15464635971;57064056848
15;34133998336;15083620516;56568566334
16;33632571461;15535949258;56312883771
17;32031900990;14361411294;56630013605
18;31921659533;14303027426;55929433883
19;30246598695;13266948816;57041298436
20;30593477714;13132625012;55218489296
21;30464013254;12765178096;57134471431
22;30328240126;13458909724;57491202189
23;29766913552;12442381070;57470471199
24;29341319436;11640327060;55820050386
25;28707232940;12539154998;55573573091
26;29655947151;13071493209;56157663775
27;28575870506;12540890747;53501708354
28;28871863521;12595505889;53482044860
29;27382257454;12346848834;51748031559
30;30703706067;12381277282;52522473873
31;29660247868;12846542627;50872604864
32;29956753952;12851142198;55551757111
33;30753283674;12854452174;50960488159
34;29970717758;12309957346;51208221173
35;32908503588;13095225130;55023014248
36;30380928460;13440678558;52769909326
37;29127787721;12751826963;56010270618
38;31029626030;12447285942;54053523391
39;33094477809;10933649653;54435840613
40;31614648830;12518778350;53458164783
41;29438810101;12266433764;55924014825
42;33999577251;11776862310;54147160538
43;36144705067;10447431547;55008850239
44;35466619118;11045372045;54421105053
45;37029653807;10130926623;55669115437
46;35655156667;10730847727;56050363557
47;37152441581;9904269992;57205588299
48;34782217042;9465021842;55094667297
49;32836282331;9436430124;55532353877
50;35299327944;9704805730;55354815944
THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
1;1;0;0;0
1;2;0;0;0
1;3;0;0;0
1;4;0;0;0
1;5;0;0;0
1;6;0;0;0
1;7;0;0;0
1;8;0;0;0
1;9;0;0;0
1;10;0;0;0
1;11;0;0;0
1;12;0;0;0
1;13;0;0;0
1;14;0;0;0
1;15;0;0;0
1;16;0;0;0
1;17;0;0;0
1;18;0;0;0
1;19;0;0;0
1;20;0;0;0
1;21;0;0;0
1;22;0;0;0
1;23;0;0;0
1;24;0;0;0
1;25;0;0;0


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
2;1;0;0;0
2;2;0;0;0
2;3;0;0;0
2;4;0;0;0
2;5;0;0;0
2;6;0;0;0
2;7;0;0;0
2;8;0;0;0
2;9;0;0;0
2;10;0;0;0
2;11;56240934811;56240934811;56240934811
2;12;0;0;0
2;13;0;0;0
2;14;0;0;0
2;15;0;0;0
2;16;0;0;0
2;17;0;0;0
2;18;0;0;0
2;19;46903002686;46903002686;46903002686
2;20;0;0;0
2;21;0;0;0
2;22;0;0;0
2;23;0;0;0
2;24;0;0;0
2;25;0;0;0


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
3;1;25979555572;21475698727;30483412417
3;2;30669859053;21119630148;40220087959
3;3;0;0;0
3;4;16794043307;16794043307;16794043307
3;5;21945341261;21942488850;21947261314
3;6;30551840038;30551840038;30551840038
3;7;29838922265;16739013828;41701823626
3;8;37239489585;32423917425;42055061746
3;9;22228701553;22228701553;22228701553
3;10;21961131792;21961131792;21961131792
3;11;24085559896;24085559896;24085559896
3;12;17453136223;17453136223;17453136223
3;13;22807480839;22804917315;22810044364
3;14;0;0;0
3;15;18928086216;16607245963;21248926469
3;16;36319559539;31111050567;41528068511
3;17;16650471218;16648084742;16652857695
3;18;0;0;0
3;19;21462953183;21462953183;21462953183
3;20;22084623779;22084358906;22084888652
3;21;41772920581;41772920581;41772920581
3;22;31846761739;30571901037;33121622441
3;23;23685595935;23685595935;23685595935
3;24;16830960988;16830960988;16830960988
3;25;22289082760;22284375598;22293789923


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
4;1;13327623518;12423181089;14232065947
4;2;12226606990;8814954136;13935195186
4;3;17539172192;14110031931;23718003476
4;4;14681985769;12512447531;16200947816
4;5;22205488896;22205488896;22205488896
4;6;10648538222;10648538222;10648538222
4;7;41028365546;41006215525;41050515568
4;8;16845374062;15531536271;17504474870
4;9;22834787801;22834787801;22834787801
4;10;13697253724;10563282694;16315064973
4;11;10505580458;10505580458;10505580458
4;12;14261193950;14261193950;14261193950
4;13;19943025929;16376398816;24991973770
4;14;21008689408;17451470020;24565908796
4;15;26928270306;19833568792;33518413025
4;16;25840940014;24406114185;27275765844
4;17;30754241111;28703881429;32804600794
4;18;29468521086;19225130428;41829326911
4;19;17016476535;14744910527;21926764156
4;20;36641874107;36641874107;36641874107
4;21;21790486133;16830141121;26759978782
4;22;32364719433;23403353987;41326084879
4;23;26617692635;20100458788;32416126141
4;24;26654275031;25593056869;28156876712
4;25;23374736035;16768693787;29980778283


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
5;1;15981699490;11799666857;20163732123
5;2;15011667777;12446900165;20139690309
5;3;12697660619;12695813295;12700312749
5;4;8527419197;8527419197;8527419197
5;5;58048209340;58048209340;58048209340
5;6;11833893973;11833893973;11833893973
5;7;12624233596;12624233596;12624233596
5;8;13427190641;13427118111;13427263171
5;9;16883183722;12956825309;20809542135
5;10;15196412847;12565395741;20482386448
5;11;13190707338;12959542833;13421871844
5;12;0;0;0
5;13;37449436101;31750263302;49436522798
5;14;16695116313;13021607146;20368625481
5;15;13322136263;13322136263;13322136263
5;16;0;0;0
5;17;46851959013;46843102755;46860815272
5;18;0;0;0
5;19;22401539372;17312029392;27491049352
5;20;16715812065;13092332894;20339291236
5;21;13879507172;13879507172;13879507172
5;22;16274503137;12735326277;20565421652
5;23;14416478037;14415511748;14417444326
5;24;0;0;0
5;25;12873181717;12873181717;12873181717


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
6;1;12733184874;11104209124;16746217675
6;2;13322764555;10823204695;15822324416
6;3;11253110206;11252717524;11253502889
6;4;12142764513;12142764513;12142764513
6;5;11428258968;11428258968;11428258968
6;6;15038825011;13150348927;16927301096
6;7;0;0;0
6;8;17414629617;11496333403;23332925832
6;9;0;0;0
6;10;13732286924;8817708745;22173807425
6;11;0;0;0
6;12;16881055414;16881055414;16881055414
6;13;0;0;0
6;14;11326430873;11182006861;11614663247
6;15;0;0;0
6;16;11165006446;11165006446;11165006446
6;17;9077277140;9077277140;9077277140
6;18;12423588036;11304559658;13110454401
6;19;11396563704;11395954164;11397173244
6;20;11023402939;10789273916;11257531962
6;21;11348896159;11348896159;11348896159
6;22;0;0;0
6;23;11238611961;11238611961;11238611961
6;24;12579431255;12579431255;12579431255
6;25;11215806199;11215806199;11215806199


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
7;1;56197698459;8960670839;58851967778
7;2;45001167371;12035659071;55719438504
7;3;58079263805;8723567800;59762219780
7;4;43647698082;8076861933;56150870781
7;5;54262128891;10653047175;58151196381
7;6;37453468385;8072182777;59043679225
7;7;53511601150;5492301536;59839504183
7;8;52815721851;20335112563;58466765888
7;9;48327325273;24564501005;59685926773
7;10;40788680218;8972237463;57435212157
7;11;36827232883;11110037309;50131774290
7;12;55731682387;9019873964;59761942021
7;13;44110318538;8142499396;57948094521
7;14;57410058882;8463373767;59584964570
7;15;55406394566;53731506448;56124251197
7;16;45788596286;8731705217;56673458987
7;17;56235117345;10860331621;59396473016
7;18;55784046104;48354327715;58829894302
7;19;59047809149;8876165965;59995205745
7;20;46767844240;11042395542;59811803385
7;21;54190187738;8804130413;59070006174
7;22;53189218385;22342152843;59114212421
7;23;41108521548;7531817871;59821851381
7;24;38295872155;8557758109;59989212037
7;25;56596230107;51635878303;59587127554


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
8;1;35726781469;16355544070;59837803687
8;2;36891185309;8077372544;58750080806
8;3;37986551266;11366664269;55768107050
8;4;36680633268;8480491794;54458470909
8;5;42457647469;24188949155;59721065806
8;6;35794368439;8119498777;54997615968
8;7;41131941239;8914539487;59982828823
8;8;37931451388;7944091847;58475289108
8;9;35365344013;7845719079;56417587151
8;10;41605882004;5566659729;57896344577
8;11;36934498472;8302609480;54082849216
8;12;36836675362;27272640587;59901567098
8;13;37763499419;8705779995;59961264700
8;14;38648522377;8769047533;55589642678
8;15;36574233296;8642693904;53053042076
8;16;37227897906;8164693068;58091701250
