THREAD; AVERAGE-REPETITIONS; MIN-REPETITIONS; MAX-REPETITIONS (nanoseconds)
1;9495531955;619719740;30703920509
2;614627588;3628424;749905496
3;446355837;2867216;601354694
4;352307614;2725122;512852532
5;327887761;2497976;463374104
6;260047004;2450800;408230853
7;262727493;2394726;384469475
8;257869071;2383112;366401506
9;242250983;2402889;346851205
10;235984889;2386440;343960863
11;224984345;2460776;327453729
12;215450269;2497211;327009860
13;199184848;2594458;323608176
14;195027583;2740926;331680889
15;193778601;2855913;336608015
16;197110651;2882330;337531205
17;195551216;2936110;317041828
18;194224233;3037277;322196796
19;194124564;3134267;329004585
20;194040013;3187206;319737569
21;191935529;3476481;315575267
22;190462003;3297430;311871067
23;188638877;3403432;323930966
24;186783299;3559391;317582192
25;188525807;3403435;321521542
26;182652680;3681412;316552514
27;183336468;3711541;309171721
28;181530086;3906934;317533052
29;182796114;3775317;316595908
30;179809988;3996156;307815289
31;179716522;4042167;307489834
32;178818723;4280574;299652221
33;178495898;4314157;298065552
34;180213677;4578489;301094086
35;181592955;4240815;308503661
36;182857774;4417178;312980348
37;181131863;4441916;302888590
38;181590537;4544292;308905919
39;181873310;4682114;317363818
40;182474452;4763951;317279310
41;180996132;4641436;318691937
42;182752348;5138588;319813484
43;183637119;5042436;318155673
44;181419984;5160619;311739128
45;181524743;4552818;323033918
46;181968427;4571692;317061771
47;181999499;4565666;316156600
48;182806045;5091339;316866026
49;182046350;4557861;304840137
50;182922909;4988586;318765689
THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
1;1;9561187320;208542287;33978035825
1;2;9016771369;1318687082;30608748598
1;3;8527724325;207413443;28760549386
1;4;9795813411;223574155;29213955894
1;5;9706844825;1200478692;30511099386
1;6;9238733123;1960547220;30065031589
1;7;8824177834;239094913;24735282836
1;8;8779911122;194994824;29637128043
1;9;9794198577;1410650726;29527601972
1;10;11756819808;222071730;35468592657
1;11;9304402083;293013707;32335674995
1;12;9214845065;636275141;31346427968
1;13;9028228471;195190450;28394437561
1;14;9467074318;1116446783;31029639102
1;15;9002082231;226495477;28465322897
1;16;9457633906;210477309;28676439534
1;17;9585398259;1094515364;34273205254
1;18;8623492783;1503674280;29056573741
1;19;9951999558;210755207;31659088097
1;20;11056653353;1336491021;31942870113
1;21;8924287010;207090916;28962030858
1;22;9946367497;208132807;32925265292
1;23;10571890461;224660955;33798083835
1;24;9599460206;218775012;34378012429
1;25;8652301962;624944023;27848914876


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
2;1;614315571;3705150;840741631
2;2;617666502;3598642;704175111
2;3;613993779;3743213;733265191
2;4;617542936;3129448;784807636
2;5;631226723;3658775;731636632
2;6;617230982;3647530;745764546
2;7;620266180;3685873;762512204
2;8;610276233;3595988;758331087
2;9;608992095;3766610;738358227
2;10;620159476;3590610;739550836
2;11;622701160;3747474;817683113
2;12;623263767;3704381;809153468
2;13;616253992;3594521;751298000
2;14;605029199;3429417;730341008
2;15;622408120;3634471;713826687
2;16;603341892;3599760;715505811
2;17;610473594;3721772;746388228
2;18;614284126;3711016;785084906
2;19;613409257;3537112;717466116
2;20;595640630;3498280;724070936
2;21;606815587;3667506;728584918
2;22;602907618;3725752;703474953
2;23;618195360;3730502;756732420
2;24;629812588;3713112;779664943
2;25;609482354;3573708;729218797


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
3;1;440161885;2878997;592170094
3;2;438654007;2828153;546807066
3;3;441980463;2754191;599794527
3;4;463239362;2948769;621696123
3;5;445902622;3034045;588112455
3;6;451062690;2935639;625159204
3;7;447575759;2851829;575855940
3;8;442003149;2778287;589896272
3;9;442315702;2772419;584395154
3;10;437894696;2650267;601600343
3;11;463371342;2974609;597743777
3;12;447753616;3022661;569832828
3;13;449140494;2811042;578170131
3;14;442984779;2786807;595849891
3;15;438845347;2850292;554110508
3;16;439989912;2847918;645180533
3;17;442411303;2724298;621157159
3;18;449470012;3043823;619637412
3;19;452170516;2890451;575871864
3;20;440466741;2816629;562854496
3;21;436483218;2736801;614225482
3;22;449492289;2749162;686244271
3;23;444228845;2844845;657429855
3;24;458705878;3045429;646951219
3;25;452591299;3103048;583120760


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
4;1;348850737;2647543;490471065
4;2;352544763;2649150;500915619
4;3;340148643;2749232;509653392
4;4;352720799;2714032;479417147
4;5;353266661;2816210;477982257
4;6;359316595;2827105;504756611
4;7;348704150;2803918;515110161
4;8;346834276;2728489;491706278
4;9;348849449;2723391;567696663
4;10;354673438;2519314;590436145
4;11;359705833;2825219;544765116
4;12;360222219;2533492;506710559
4;13;355712155;2823753;493204862
4;14;348366571;2773327;476618677
4;15;343025423;2587619;473857362
4;16;347827885;2813556;538424855
4;17;355845728;2677505;525549267
4;18;365918563;2756426;497808032
4;19;350927444;2779124;459900420
4;20;346590490;2732470;483871833
4;21;345076154;2764038;594422126
4;22;346777713;2679530;595859948
4;23;354969366;2537055;530059477
4;24;361223351;2806572;493465440
4;25;359591963;2860000;478650010


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
5;1;328358954;2564153;468494390
5;2;324366965;2552210;460677893
5;3;320344385;2438369;471892727
5;4;329357664;2489772;441552698
5;5;333370798;2558845;440026945
5;6;330003105;2594743;439026888
5;7;326805158;2579518;437020138
5;8;332470888;2458483;477470181
5;9;324998344;2595023;442893719
5;10;322181826;2468051;436340372
5;11;325809761;2489353;431837915
5;12;329092217;2689587;443551834
5;13;330315327;2592997;473628561
5;14;325176729;2463582;441366152
5;15;325928905;2191829;551103702
5;16;328949504;2347645;473036866
5;17;325690063;2355257;498263676
5;18;334142215;2171924;438296907
