THREAD; AVERAGE-REPETITIONS; MIN-REPETITIONS; MAX-REPETITIONS (nanoseconds)
1;0;0;0
2;25943778973;24353668893;27533889052
3;12094016575;10072045005;14769833738
4;45064749455;15280203827;54187598599
5;24938660468;10625994169;54487796066
6;17490671665;6961936994;24607394735
7;19385365860;4849443965;23923072884
8;19341987312;4635900548;37662713987
9;17308158108;4441084939;37999010052
10;14919057054;4674400919;34328524236
11;13931128671;5016281055;35844065064
12;11935785241;4940849219;36343925767
13;10485485741;4458518096;33784724298
14;9389033668;4614303714;32368964941
15;8972612293;4870523845;27346962728
16;8029445947;4624586588;24390404791
17;8899672097;4733504462;28314609837
18;8074839849;4561179582;20566495702
19;8138434551;4682144873;21122024218
20;7929627419;4545695262;24894018647
21;8338378408;4633140197;28855173629
22;7299288604;4593639898;20331538270
23;8531100240;4579770387;29131278696
24;8244866741;4386398494;24546892700
25;9123503373;4418056054;29962621299
26;8410974790;4244252406;31417296896
27;9145905583;4072109100;30751648648
28;10282436223;4324783588;33160164135
29;9805453209;4124225788;34247078575
30;10456714672;4051012614;35161477104
31;9398745803;4172380833;32713212170
32;7555735681;4369644047;22384131581
33;7567765975;4152474554;30228955003
34;8168349500;4076030663;29244468833
35;7845759345;3936991338;26798341127
36;8032920518;3956766351;30904594899
37;10151440723;3881741101;35192054833
38;9689870513;3952069754;37045367123
39;7511496737;3997846941;24012810516
40;8666605609;3827190857;30416248945
41;8183637834;3638213834;34777155417
42;8896773991;3660580825;33365517919
43;9180116747;3844963421;37622101317
44;8285156230;3722578380;32812812178
45;8727008656;3643355004;33380372980
46;9307963895;3667982179;40084852921
47;8488728918;3654565756;33163379806
48;8748821067;4018269050;36339795686
49;7634550512;3800912847;32333667496
50;7704334524;3341600390;33164917538
THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
1;1;0;0;0
1;2;0;0;0
1;3;0;0;0
1;4;0;0;0
1;5;0;0;0
1;6;0;0;0
1;7;0;0;0
1;8;0;0;0
1;9;0;0;0
1;10;0;0;0
1;11;0;0;0
1;12;0;0;0
1;13;0;0;0
1;14;0;0;0
1;15;0;0;0
1;16;0;0;0
1;17;0;0;0
1;18;0;0;0
1;19;0;0;0
1;20;0;0;0
1;21;0;0;0
1;22;0;0;0
1;23;0;0;0
1;24;0;0;0
1;25;0;0;0


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
2;1;0;0;0
2;2;0;0;0
2;3;29808242109;29808242109;29808242109
2;4;38756736052;38756736052;38756736052
2;5;23875750130;23875750130;23875750130
2;6;15180319846;15180319846;15180319846
2;7;41428054893;41428054893;41428054893
2;8;12754992394;12754992394;12754992394
2;9;23830609198;23830609198;23830609198
2;10;39646999618;39646999618;39646999618
2;11;29975710390;29975710390;29975710390
2;12;25194264634;20983019281;29405509988
2;13;39886290576;39886290576;39886290576
2;14;34018418368;29541104736;38495732000
2;15;16646005707;16646005707;16646005707
2;16;42488736103;29402903441;55574568765
2;17;25055553813;20866936510;29244171117
2;18;34965293773;30182010214;39748577333
2;19;33855373518;29318712713;38392034323
2;20;15493693054;15493693054;15493693054
2;21;34224951355;29755152680;38694750031
2;22;21219167938;21219167938;21219167938
2;23;30613237437;30613237437;30613237437
2;24;39676073425;39676073425;39676073425
2;25;0;0;0


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
3;1;15745537258;11223007393;22953891207
3;2;0;0;0
3;3;13991209672;9409377170;18573042174
3;4;19052165010;19052165010;19052165010
3;5;16479400035;11485817402;24235533148
3;6;11426068222;8597055562;14255080883
3;7;13330783591;8151041683;18510525500
3;8;11320888898;11320888898;11320888898
3;9;18692444990;18692444990;18692444990
3;10;0;0;0
3;11;15002458029;11392262983;18612653075
3;12;8132972137;8132371851;8133572424
3;13;10864966939;9736407560;11431313338
3;14;19284193312;19284193312;19284193312
3;15;12390514297;11466154706;13314873888
3;16;9070310751;9070310751;9070310751
3;17;14352699155;8190373078;23395499079
3;18;15755172724;11757024845;23751407651
3;19;11811180436;10302326064;13320034809
3;20;0;0;0
3;21;17165318881;11302847080;23027790682
3;22;11332577884;11332577884;11332577884
3;23;11412576180;11412576180;11412576180
3;24;13867847101;8620771844;23696339689
3;25;11869128897;11869128897;11869128897


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
4;1;51706545000;16400611111;56921572086
4;2;43069605476;8827136689;53236257611
4;3;53427833017;52768674860;59586041383
4;4;45098208782;6195162164;56533314430
4;5;43744353158;41250072774;53897425790
4;6;41515642514;6157925588;53765200884
4;7;40696711014;5825547311;48206875036
4;8;45811529702;5847041454;58550594908
4;9;48255593916;9614189513;58623483222
4;10;51550936152;49045474006;56037228824
4;11;45884208400;5942902799;58449554552
4;12;51834160579;7012043640;59218714809
4;13;47664470198;6711576192;57407821385
4;14;39318294735;5757184922;48108758655
4;15;51874649331;8618967424;59724862448
4;16;48911066994;45235981180;59455367721
4;17;48173526377;5710688789;57147632940
4;18;6701465620;6701465620;6701465620
4;19;41888937566;6217791856;53697637758
4;20;44196441189;5789228240;56929878309
4;21;43073655592;6380484321;48308024484
4;22;46395328380;8484013261;58830558423
4;23;48127290096;6716302281;58238740328
4;24;53118969753;48585201680;59534954582
4;25;44579312854;6209428014;57577998810


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
5;1;22464159861;4954060642;49579019331
5;2;23113891935;10615738383;48653697606
5;3;26197389996;17112759374;58922971914
5;4;19639595539;5159465868;58838152614
5;5;21604977754;4957157194;48099041359
5;6;29187669312;10979943051;43411722649
5;7;25294976433;11174279762;58988957186
5;8;24453523614;5079282702;55297121073
5;9;22780550333;19750716432;59847487809
5;10;31723395115;23479813146;46201396616
5;11;23240797766;7567901856;59653371797
5;12;27805729348;17381696976;59981031807
5;13;20550124044;5892464894;48368648459
5;14;34641590919;6999671956;51554632852
5;15;18760362906;5420942536;59008112554
5;16;23874365049;16017027234;48806682972
5;17;24452866278;5014091456;50485153141
5;18;21410178350;5534696519;59146945980
5;19;26944684704;5081594239;58081115267
5;20;18685700489;18087168900;59157274668
5;21;37663471107;10870828555;48203365232
5;22;21389392956;5468849463;58635016252
5;23;20734774422;5306010541;59010264712
5;24;37973541480;32521899850;55281040537
5;25;18878801995;5221792714;58982677268


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
6;1;15200842701;4697608844;25833570049
6;2;13917417308;3006244089;14859694667
6;3;23502895614;4556232427;34701501308
6;4;19177428191;15619282897;31276214156
6;5;15694987665;5733955782;24392737066
6;6;17778890076;9729976854;20148525371
6;7;14490021454;11999322051;18561434763
6;8;21534141386;9168984466;23665428986
6;9;15131905673;4899885670;19872177889
6;10;15580323787;9064703475;21430789178
6;11;30837012931;4600260997;48223691977
6;12;18532530536;5079781439;32312132757
6;13;16013050025;12868701329;28179162784
6;14;14240331393;3341814113;23962073672
6;15;14134815584;9463284439;14765762199
6;16;21621756383;4461797030;31648179028
6;17;18936582136;5160205347;30496926006
6;18;15000655041;9902267956;18365040739
6;19;24477326627;4556180604;34637874785
6;20;14171966644;4292065332;18789787249
6;21;13428445979;4462352129;15029587629
6;22;19626275507;5128740454;29601340254
6;23;14379524407;11765428287;18404816953
6;24;15901226853;4964888554;20928803242
6;25;13956437742;5524460302;15097615689


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
7;1;34706327938;4409692853;40982808709
7;2;17456134875;4465777145;21145045180
7;3;25441635804;4533593375;30526433247
7;4;13325825804;4552181911;14918355894
7;5;19134768538;2788352849;22909011760
7;6;15023065507;9545514444;19323216429
7;7;13034576211;8798106254;14932723502
7;8;21652151712;3365143475;26518609697
7;9;16113140322;4818004803;20374752378
7;10;23052449540;3389583174;30225011489
7;11;13767972806;4548650596;15982284061
7;12;12766530718;4079554943;14381909293
7;13;21976219961;3422678511;26240646856
7;14;12529158246;4095984196;14409677417
7;15;25580429412;5724889406;34250854159
7;16;11678526044;6004213943;13829552499
7;17;14336758305;4302767111;16468198961
7;18;22433511447;3174130791;29875605838
7;19;15370541961;7912776694;19773925038
7;20;30484465818;4705027734;40663033081
7;21;26531885926;4248191809;35117627590
7;22;15316931371;4096427898;17313510307
7;23;14183384050;3777705756;15713120941
7;24;19874992507;3723404231;25121413406
7;25;28862761678;6753745239;37079494391


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
8;1;26100099782;6189878044;36585033084
8;2;24665842189;3643155206;40012895704
