THREAD; AVERAGE-REPETITIONS; MIN-REPETITIONS; MAX-REPETITIONS (nanoseconds)
1;0;0;0
2;29136427657;27135307554;31137547761
3;16330586314;13447481629;19386143009
4;20575297741;7795237763;25429464677
5;49983640452;8138960270;55588039558
6;40646798530;8778335333;48862375162
7;34964582814;6393200741;42201493994
8;27715634467;5628472635;40922881282
9;23670343351;4619769093;39191998815
10;21445943495;5187638373;39934511657
11;20444124359;5508859399;38679850877
12;18793333996;5742635792;38057252564
13;19038689982;5767222607;38021555077
14;18252950263;5907614604;39099553566
15;16539003920;5731938120;36066493157
16;15789280162;5880337945;38186442735
17;14276008804;5567796613;35715562097
18;13964299700;5305416956;43446083817
19;13178436874;4828725849;39511352887
20;13909804751;4965947940;43707431293
21;11609607508;5012532665;34107093513
22;11482875750;5001063682;31880113592
23;13224948581;4731885314;34299159502
24;16822999250;4776284382;46818113215
25;15655831169;4721294611;42395139111
26;13241764305;4655980790;33224822959
27;18000819197;4871165486;47981712354
28;17668847105;4607365718;42725159099
29;16521274469;4580995003;47090875186
30;17624950991;4563035584;48626928327
31;17233936258;4385005828;46923012240
32;14365972129;4578169256;43297155317
33;15282249364;4526782457;44565883504
34;16255831565;4395358155;39676909682
35;14990818437;4666753327;42594789628
36;16544770960;4636526608;40502590994
37;13077615069;4393578996;37084898630
38;13018070285;4351358605;41609446209
39;11822515715;4505192310;36159783455
40;14449483937;4165888253;45911178102
41;16303124039;4165503562;45505492091
42;12325276329;4085831280;43731952787
43;13459941909;3917600013;42395392816
44;13526360683;4035821245;42862379573
45;11908941980;3847775443;44113853405
46;14566770081;3954439092;45286866216
47;12119815602;3915671609;41808445196
48;11482568707;3832592768;38268041985
49;14072751900;3855684781;48160270956
50;14027167599;4414256786;45155644993
THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
1;1;0;0;0
1;2;0;0;0
1;3;0;0;0
1;4;0;0;0
1;5;0;0;0
1;6;0;0;0
1;7;0;0;0
1;8;0;0;0
1;9;0;0;0
1;10;0;0;0
1;11;0;0;0
1;12;0;0;0
1;13;0;0;0
1;14;0;0;0
1;15;0;0;0
1;16;0;0;0
1;17;0;0;0
1;18;0;0;0
1;19;0;0;0
1;20;0;0;0
1;21;0;0;0
1;22;0;0;0
1;23;0;0;0
1;24;0;0;0
1;25;0;0;0


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
2;1;17801629397;17801629397;17801629397
2;2;35711902909;35711902909;35711902909
2;3;35654731257;35654731257;35654731257
2;4;35298939949;35298939949;35298939949
2;5;18316938326;18316938326;18316938326
2;6;39859272198;26720704797;52997839600
2;7;18394401523;18394401523;18394401523
2;8;27324809439;27324809439;27324809439
2;9;27492832120;27492832120;27492832120
2;10;16443249352;16443249352;16443249352
2;11;17142349446;17142349446;17142349446
2;12;43406004464;34192172190;52619836739
2;13;20563752446;20563752446;20563752446
2;14;29473664600;26169670727;32777658474
2;15;26140521072;26140521072;26140521072
2;16;38243394342;35117384403;41369404281
2;17;30350262568;26526419000;34174106136
2;18;27712871399;27712871399;27712871399
2;19;29428648264;26074146365;32783150163
2;20;23614567704;23614567704;23614567704
2;21;36045269336;27339558240;44750980432
2;22;26722416851;26718808187;26726025515
2;23;33898189994;33898189994;33898189994
2;24;33952534191;33952534191;33952534191
2;25;39417538297;34059604433;44775472162


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
3;1;14561177142;12412603138;16574872854
3;2;17099462734;10954743340;25571708345
3;3;25824442841;25824442841;25824442841
3;4;14570110517;14570110517;14570110517
3;5;10760636792;10760521868;10760751716
3;6;14616772348;14614921100;14618623596
3;7;18866323514;18866323514;18866323514
3;8;14635757582;10731501909;18540013256
3;9;15732946785;10860913887;20604979683
3;10;13553176730;12640696513;14465656948
3;11;10960239046;10958771436;10961706656
3;12;14564222338;14564222338;14564222338
3;13;14528575419;14519418879;14537731960
3;14;22179415819;14525591032;33322821964
3;15;21572466368;8837329814;34307602922
3;16;16918452590;12896474482;20940430698
3;17;15879209613;12854634807;18903784420
3;18;20607222950;14921819393;26292626507
3;19;22285826865;10930756773;33640896958
3;20;17325150146;12726333165;20553038095
3;21;15251422422;10740033091;19762811754
3;22;14282730835;13786634893;14778826778
3;23;12733194093;12733194093;12733194093
3;24;14422765044;14422090587;14423439501
3;25;14532957331;14532957331;14532957331


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
4;1;14129871027;9366619081;18206343614
4;2;13113506860;6843587313;21584894867
4;3;56503620284;5409349163;59489154697
4;4;55347365525;6684987547;59787212271
4;5;20960308014;20960308014;20960308014
4;6;13873233696;6823792968;20016759532
4;7;46124581814;7147947993;59989215878
4;8;10557989109;6852873620;19003983258
4;9;8064075916;6744690457;9383461376
4;10;6922040651;6922040651;6922040651
4;11;11112383277;4994261561;19880227934
4;12;13937142360;9606530090;21258297633
4;13;58777612839;7310713652;59659951264
4;14;7187854217;4927295299;9448413136
4;15;14476020573;8601817480;21912921963
4;16;13725420456;6978102524;21411322528
4;17;10529281491;8093116094;12700931682
4;18;11940308637;6814224503;18155648623
4;19;9921615107;6892603878;12950626336
4;20;15065064100;6993933307;23136194894
4;21;13141442581;8484156017;22455282236
4;22;57351301056;6972762041;59986719611
4;23;13886107469;6720934365;19702408476
4;24;6839449497;6839449497;6839449497
4;25;10894846971;10894846971;10894846971


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
5;1;57930877222;53605947265;59890921472
5;2;55406249244;5532179090;58878523388
5;3;29062124425;8278190384;35829715648
5;4;49047839788;5910459849;55982454334
5;5;59424569739;7304787480;59885147274
5;6;55887505037;6076743133;59935176328
5;7;57445800327;13488970456;59977319254
5;8;58534652404;6034451446;59979123953
5;9;55617983368;5677761838;59771158066
5;10;52090814250;5451601181;59584373503
5;11;50848877879;5454332255;55464119881
5;12;50603744969;5443296914;55134348011
5;13;56733137883;5981901331;59862250789
5;14;57450770236;5579875654;59977521655
5;15;20177266050;5688420456;58377510130
5;16;51453222599;5808834643;59938192214
5;17;57471605769;6204515169;59831311312
5;18;47590960604;5604241810;51664639850
5;19;58927978242;4891976145;59942299231
5;20;49755821120;5389327694;54773056771
5;21;26468681804;7948172253;32173735698
5;22;48951579025;4471325336;54310913189
5;23;57763598634;6078891032;59990668646
5;24;34597381667;5719273399;42304845099
5;25;50347969016;5848530540;56241663256


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
6;1;48664536782;7169919850;54849061054
6;2;57247254967;7669628403;59611236205
6;3;38281232962;4880332347;52958133576
6;4;48748244464;10845340539;57732363121
6;5;18181058010;4877964099;24905381829
6;6;49361425555;48896344508;56322332727
6;7;23597130388;5197111016;42432551972
6;8;48919457302;5277091013;59365065043
6;9;57526492666;12208572738;59981510569
6;10;47841467554;10914732948;54693704228
6;11;46649450285;5004943296;58025493115
6;12;17788097642;5047507365;25525890721
6;13;49830975220;7032156042;54972140873
6;14;17689284967;5167788644;26610062871
6;15;51074437451;11104962154;55076326600
6;16;23343894108;5116921564;38907335011
6;17;51574194571;7562252116;58741535307
6;18;17160753407;13402191271;29038031649
6;19;46038083705;4963579589;57741433898
6;20;56262237780;5254436737;59967587570
6;21;17940479993;4892927174;24285243376
6;22;48231868958;5495637714;53515324364
6;23;56560197980;5295812735;59495412685
6;24;23804847666;5182977515;38575466435
6;25;53852858891;10997251955;58230754258


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
7;1;15809100926;5762353526;20451023104
7;2;15515249658;9639564525;21643727555
7;3;42146517301;9699760724;48280996118
7;4;18285384794;4991752653;32513022535
7;5;48848721594;4573299609;56847935841
7;6;33934573311;9591735541;39452901416
7;7;38765181169;3845231657;43731649274
7;8;45566697164;4920492968;55573705597
7;9;24743947541;3688074182;27165630548
7;10;45570118318;6029304982;58931639985
7;11;15897972030;4774403520;20360374713
7;12;50495148214;9585705026;55639649941
7;13;37024025526;4737585573;39437024329
7;14;37272124406;4890983910;59866524237
7;15;41061662287;4938354874;42453547937
7;16;30792865317;4656717264;35285038043
7;17;48341330079;9843836227;57879416518
7;18;15781263420;4820482213;20678475966
7;19;45687536122;4675205508;51805554826
7;20;36220589340;9694284678;39393503015
7;21;51375487044;4502633575;56590206856
7;22;18974980660;9857771100;32972912829
7;23;53456099309;5184427351;58291275497
7;24;15537416753;4868691203;20245101263
7;25;47010578084;10057366159;59546511917


