THREAD; AVERAGE-REPETITIONS; MIN-REPETITIONS; MAX-REPETITIONS (nanoseconds)
1;46447221828;46447221828;46447221828
2;28620524983;6965408522;41633811118
3;23423205837;3377663976;54705505107
4;15141088328;2122775037;50362445344
5;13517716136;1595782620;44747604262
6;11539748462;1429830461;45502338241
7;9921816777;1285823740;42901887890
8;7191937174;1129806874;38540200383
9;5367055165;1072718513;32085604947
10;3815742513;1054976330;14305272932
11;3475732868;1064501591;9100318833
12;3550309604;1086670509;8928113712
13;3306344107;1003985282;7587518265
14;2826669230;1104014585;3436560034
15;2623476994;1069156177;3097346735
16;2487386209;1042726868;3211687136
17;2351101575;1063588813;2731509191
18;2172579337;1066920184;2651099986
19;1949052258;994650892;2580877958
20;1887781092;1053504559;2594251062
21;1863398782;1021431939;2550118607
22;1859713193;1045386332;2540465936
23;1820431139;979824935;2622246989
24;1826739028;1023871383;2632263156
25;1797578985;939055318;2677774477
26;1786382251;991405376;2569966395
27;1767139024;983447094;2591621546
28;1768032814;951202426;2604027475
29;1762425612;967786288;2613972963
30;1774866604;958546452;2649956782
31;1748160715;955685655;2569082201
32;1760801284;973869363;2590067581
33;1751644298;958932079;2639867483
34;1770521739;981695545;2662719085
35;1758324005;947611308;2602609652
36;1746182228;977484507;2614907179
37;1744160421;990940979;2634068153
38;1741610619;929868829;2582572486
39;1736858103;988730813;2510871932
40;1743936248;889891707;2610042259
41;1746727785;948956892;2648237756
42;1740350509;952922893;2544019248
43;1743087591;971533147;2552822302
44;1748444148;950575282;2594184925
45;1737424773;952974408;2556972402
46;1710879014;949908005;2489854657
47;1723417496;954481368;2555430762
48;1756245571;925370221;2688868434
49;1746424298;958168499;2579737427
50;1739924192;929651221;2557223457
THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
1;1;0;0;0
1;2;58826315007;58826315007;58826315007
1;3;46469287647;46469287647;46469287647
1;4;56456564591;56456564591;56456564591
1;5;46777026690;46777026690;46777026690
1;6;54888159319;54888159319;54888159319
1;7;45817311209;45817311209;45817311209
1;8;0;0;0
1;9;45802203003;45802203003;45802203003
1;10;56085287306;56085287306;56085287306
1;11;56415524459;56415524459;56415524459
1;12;0;0;0
1;13;45076762409;45076762409;45076762409
1;14;55799300749;55799300749;55799300749
1;15;54709127836;54709127836;54709127836
1;16;55573355971;55573355971;55573355971
1;17;44796919301;44796919301;44796919301
1;18;54812143024;54812143024;54812143024
1;19;56473391450;56473391450;56473391450
1;20;46116305284;46116305284;46116305284
1;21;55064960421;55064960421;55064960421
1;22;55896174933;55896174933;55896174933
1;23;56779843806;56779843806;56779843806
1;24;55484028627;55484028627;55484028627
1;25;57060552668;57060552668;57060552668


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
2;1;27689026617;7046537270;34005717766
2;2;34449539949;7720141596;40810615804
2;3;29845283834;7113747697;56887132234
2;4;25222557605;4958248743;30861966186
2;5;29122694951;21931436747;38034751414
2;6;24743214357;7064135875;49792651370
2;7;34712879704;5273732975;41653634890
2;8;31082242848;7643230773;38353924311
2;9;25191633230;5013368459;49809465170
2;10;27014605366;7028040505;53882921712
2;11;30629593987;7670497787;37833091217
2;12;31600592214;5134825726;59286048018
2;13;29599996014;5116542326;37065879952
2;14;32793222245;7820604015;40146164736
2;15;28720524949;3369725482;34903265359
2;16;25173668814;9988765541;31243646958
2;17;30991719045;3496310006;38615908865
2;18;28933794315;5085048379;35988943148
2;19;27840276516;4979677375;33500497200
2;20;28275311264;7570033133;35308831500
2;21;24089324118;6855581855;29959855862
2;22;26550294201;4975417825;52479820759
2;23;30279708425;7444200100;37664679100
2;24;23496283645;6864621970;49258078471
2;25;27465136367;6970740905;53497785961


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
3;1;26082758344;3133272176;58133977363
3;2;25281154694;3307751125;55178006981
3;3;24860736955;3415757310;55731810468
3;4;24234397922;3243744596;56733774823
3;5;25487405107;3904099055;56594253808
3;6;23118287934;3145806381;57798242444
3;7;25548195826;3220990727;57933883078
3;8;15229409294;2312746382;34703718559
3;9;25960581477;3148156120;57786774227
3;10;13530950813;4711620053;56957959042
3;11;23024698787;3204050794;56537106602
3;12;26553335960;2222257926;57654457620
3;13;24765917892;3176473616;57721214219
3;14;26912552614;3181610582;58799434775
3;15;24976024065;3182668816;55626202143
3;16;24769392560;3286049065;57422317990
3;17;26656527645;6074042301;56632408448
3;18;26570161019;3191415808;57039631643
3;19;27081934346;3193797675;57976858231
3;20;24807232713;3178038409;57977881267
3;21;12759422522;3372447825;21737978709
3;22;13402662389;3201215378;57955196750
3;23;25230630054;3214822554;55392601225
3;24;23706566513;4045342984;53725771991
3;25;25029208480;3173421762;57886165281


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
4;1;18077353002;1751216635;55365410338
4;2;14239788555;1738242570;57851889207
4;3;15952954963;1732037662;55743493097
4;4;14263826864;1825640061;41005801646
4;5;13795440273;2283786277;55879519813
4;6;14527216654;2021291253;56568480211
4;7;14095897950;1761405361;37672289984
4;8;15105173653;3136745103;55869508974
4;9;14771015493;1785588951;40490589307
4;10;13972269310;2389166500;34576976962
4;11;14860222672;3310866744;57413451361
4;12;13042611069;1801164184;56317053983
4;13;14759031592;2322640238;39862246109
4;14;17572599875;2016929247;55912837665
4;15;13803567032;2276006727;55888319675
4;16;13634368962;2241130227;38920413768
4;17;14197039653;1778203515;37911206801
4;18;17048417262;2211015926;57508274864
4;19;16431752654;3284258265;55908325220
4;20;15359495437;1868371818;36876183286
4;21;12914121501;1738861084;57428091140
4;22;16096617954;2253129588;51022614327
4;23;16400655343;1704403703;55971308714
4;24;16869869654;1741687211;55704306134
4;25;16735900837;2095587079;55392541021


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
5;1;15908910482;2360004483;45320360968
5;2;12659244018;1470869203;38892770799
5;3;18063834705;1504872057;54830782893
5;4;11232267532;1520167228;54919586498
5;5;11643200091;1473928530;36864752643
5;6;15979812407;1497432984;55805049385
5;7;9540240303;1502715708;34405352287
5;8;11353202220;1493962361;40043385542
5;9;15298880994;1489370297;49626298594
5;10;9729630090;2218944936;32860915214
5;11;14845096643;1489478900;54467186681
5;12;15772154276;1503371588;51362196801
5;13;14074929791;1450623613;45459671201
5;14;12094885166;1478532467;35708728623
5;15;14269130901;1503244267;41947090832
5;16;12017212769;1747658921;35891116189
5;17;14882414855;1529393401;47860740890
5;18;12194545408;1484980354;40131596614
5;19;12776965223;1584461014;42734918544
5;20;12376438222;2176970676;47842027060
5;21;12539739448;1490467713;38994077180
5;22;12229079892;1478341311;54730699781
5;23;11440393967;1462124516;35289901789
5;24;18138987907;1484468696;54295132971
5;25;16881706107;1498180286;48405766584


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
6;1;12894424941;1324578752;44587278131
6;2;14510516413;1351561511;51427270086
6;3;11424346173;1284440970;42410481011
6;4;12946342333;2164556040;47438527452
6;5;10160711810;1312148890;38441372437
6;6;9496695100;1765840421;50248833231
6;7;12429742238;1648085930;50941865097
6;8;9765881010;1345681225;52618403736
6;9;13070111569;1320248244;36742767028
6;10;8963296486;1311046515;42163368039
6;11;9518936179;1120075806;51382541077
6;12;11554358135;1424340314;45321998117
6;13;12186790696;1325676238;46354747181
6;14;11105305858;1120264726;52767161260
6;15;13615601674;2204936242;45656259036
6;16;10176753863;1458991645;43656825937
6;17;11133148936;1315076078;40140257979
6;18;10189815005;1262492859;47758885486
6;19;11561348636;1267037501;39450725372
6;20;11627925271;1329781299;42903812356
6;21;10966585523;1386639015;49857845829
6;22;13511238034;1119892263;46124312936
6;23;10314411294;1823335508;35029108727
6;24;12965690796;1407899467;42963981944
6;25;12403733584;1351134083;51169826542


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
7;1;8256085139;1277840410;48107475182
7;2;8433680895;1381673718;48735095312
7;3;8900445393;1668961069;52425506804
7;4;10329489684;1257426502;46273513812
7;5;9630784782;1131075039;49957690921
7;6;9116601685;1072652740;33604421303
7;7;10337596785;1182960823;32910970109
7;8;11359240202;1251963239;49274515476
7;9;8955372484;1236488227;33797035238
7;10;14009866500;1234759515;47540005713
7;11;9366646028;1631357198;36620398682
7;12;10682338824;1296427618;42208240084
7;13;10613250740;1247260964;33970627063
7;14;9926216824;1502903163;36595003345
7;15;8078491068;1035501579;47418163691
7;16;9676027530;1258352458;48434469604
