THREAD; AVERAGE-REPETITIONS; MIN-REPETITIONS; MAX-REPETITIONS (nanoseconds)
1;0;0;0
2;29521375782;28771320888;30165625284
3;17051403001;14827483398;20081760025
4;14926223930;10802844124;19610368708
5;26146997933;8636554109;30791552367
6;28775803299;8126950162;43908735892
7;29171003900;7370620777;44635575599
8;20419035684;6843150151;31630454513
9;17433687139;7044669026;27445995801
10;16878497076;6958191683;26730068757
11;16922973554;7149303079;20799143226
12;16718480846;7946004877;26270107427
13;17732460472;7810404104;25376846163
14;17241993690;7358140353;21793642175
15;17713467127;7828574497;20702392354
16;18873649198;7634862064;22257940581
17;17827781662;7055692511;20399870816
18;18020603200;7406813257;22533216436
19;20005198203;6662122990;23524544689
20;21520584728;6747541718;26010930260
21;17313932297;6101722545;19854444525
22;20552302345;6134326440;26129654341
23;22237828290;6731626826;27290251805
24;20338626117;6464294464;25430114830
25;18946884260;6460572575;23392951503
26;19899210123;6502259379;24059612207
27;17871576209;7189172132;22156638678
28;18701545498;6774288374;25218007601
29;21100608805;6611348542;26554412840
30;18452714942;6943250058;22963786023
31;20311201301;5827709703;25710913152
32;18631889596;6648575687;23843004225
33;18396762998;6661320025;22759351490
34;21213658872;6418779543;27766633843
35;22819814362;5958235124;29876336207
36;19499530791;6386980482;24900071922
37;19226774748;5918005453;24998411247
38;16782529117;5826572782;22026200357
39;17058318758;5909228608;21623918615
40;20046126291;5029988979;29570581797
41;17972267069;5940238513;23471969253
42;18685060910;5317878406;25171412171
43;17281532548;4977448787;22099745643
44;16411756017;5531019741;21584903153
45;16762030033;5224500080;22521417621
46;17977333275;5091007194;24573680853
47;19523937925;4448530461;28884518571
48;20508049484;6193930918;26845038285
49;19083094859;5705024155;26911944168
50;20060226113;5068674778;29927170145
THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
1;1;0;0;0
1;2;0;0;0
1;3;0;0;0
1;4;0;0;0
1;5;0;0;0
1;6;0;0;0
1;7;0;0;0
1;8;0;0;0
1;9;0;0;0
1;10;0;0;0
1;11;0;0;0
1;12;0;0;0
1;13;0;0;0
1;14;0;0;0
1;15;0;0;0
1;16;0;0;0
1;17;0;0;0
1;18;0;0;0
1;19;0;0;0
1;20;0;0;0
1;21;0;0;0
1;22;0;0;0
1;23;0;0;0
1;24;0;0;0
1;25;0;0;0


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
2;1;36397927460;31102293937;39048426196
2;2;38442388209;38442388209;38442388209
2;3;33847401170;30444369465;37250432876
2;4;0;0;0
2;5;37324923210;37324923210;37324923210
2;6;46081388277;46081388277;46081388277
2;7;30501769569;30501769569;30501769569
2;8;48411014947;48411014947;48411014947
2;9;47881914182;47881914182;47881914182
2;10;19426988416;19426988416;19426988416
2;11;0;0;0
2;12;39306220972;39306220972;39306220972
2;13;0;0;0
2;14;38928024512;38928024512;38928024512
2;15;30793673707;30792584882;30794762533
2;16;0;0;0
2;17;37230448423;37230448423;37230448423
2;18;0;0;0
2;19;34333399007;30426579705;38240218309
2;20;37091221090;37091221090;37091221090
2;21;37770270313;37767543640;37772996987
2;22;49608248744;49608248744;49608248744
2;23;0;0;0
2;24;45156524014;39014451698;51298596330
2;25;49500648337;49500648337;49500648337


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
3;1;16757237931;12144918908;21713195602
3;2;22746912107;16637096055;28856728160
3;3;11715425145;11715425145;11715425145
3;4;29063909380;29063909380;29063909380
3;5;16670950847;16670431647;16671470048
3;6;17910671910;16392030203;20945524571
3;7;14032348001;11700998451;16363697551
3;8;21067949977;21047177854;21078715591
3;9;0;0;0
3;10;0;0;0
3;11;11767593856;11767593856;11767593856
3;12;18652353878;9281011903;37512854427
3;13;19522962730;16873993622;22171931838
3;14;18737932055;16505076064;20970788047
3;15;17463803896;11748165339;28891631758
3;16;14812431072;11699061753;21035544950
3;17;21124280809;21124273616;21124288003
3;18;17155781670;17155781670;17155781670
3;19;18541879764;16238621668;20845137860
3;20;16662131674;11948745720;21375517628
3;21;22784764090;16550919321;29018608859
3;22;29332782030;29332782030;29332782030
3;23;16496450527;11824549070;21168351984
3;24;16639746811;16639746811;16639746811
3;25;16624774867;16624774867;16624774867


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
4;1;8997262117;8175215426;9819308809
4;2;14286079501;12302905188;22145704063
4;3;7626211677;6049654356;9202768998
4;4;14822343342;7897827726;24284143864
4;5;0;0;0
4;6;20737735364;7869504992;31843109948
4;7;17691112068;10070886034;25311338103
4;8;15456091813;7904739011;24019752930
4;9;17570623780;10147442343;24993805218
4;10;10749625302;8939696247;14369103965
4;11;19956239375;9043309206;30668501723
4;12;0;0;0
4;13;13391057522;11532593318;15249521727
4;14;10994611920;10026824499;11962399341
4;15;30605368873;30184138976;31026598771
4;16;17069639821;10214529780;29409865360
4;17;12702762432;9880219972;15525304892
4;18;13224027844;9049962915;22296954501
4;19;13506822236;11223055654;15790588818
4;20;9006678712;9006678712;9006678712
4;21;22446685332;9136122398;30914298884
4;22;34821926460;34821926460;34821926460
4;23;19917031215;9038130824;30011098129
4;24;15419461482;15419461482;15419461482
4;25;12156200066;12136277586;12166983024


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
5;1;40774446303;6171481571;52347331714
5;2;10278494228;6504701156;14960246484
5;3;11214949316;6566512434;17624769000
5;4;49237634786;6126721553;55743558190
5;5;11876979511;4756854084;14251932787
5;6;9721127266;9721127266;9721127266
5;7;8406218597;8402863772;8409573423
5;8;20003061423;20003061423;20003061423
5;9;47908360830;6081789585;55757096363
5;10;21279570099;21279570099;21279570099
5;11;19047239733;17411041906;20683437560
5;12;11830368280;6477372823;17183363738
5;13;54411294930;6731767515;57544915136
5;14;14021962567;8332236290;21040309592
5;15;17777668181;17755649182;17799687181
5;16;50236782295;6576979267;58086477821
5;17;11060996631;6812874192;21239007891
5;18;55064847252;6650263860;59283113217
5;19;53282943117;6660516839;59109757316
5;20;7994826298;6744305911;9245346686
5;21;42810925751;6473661247;50570641101
5;22;11642217062;6007223474;16983888735
5;23;11201165930;6567176834;17660113716
5;24;11784315999;6605135289;18063552420
5;25;50806551940;4492965168;55196930336


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
6;1;11277511608;6201228438;15290959605
6;2;22204552018;5723586238;53814457354
6;3;9715087927;6452003047;16241133091
6;4;20070818939;5624843311;57498909499
6;5;10286170484;6217952910;16031991077
6;6;55896168548;11878811134;59458101379
6;7;21516614630;5674059134;49131764443
6;8;52089867274;6227898099;59780867610
6;9;20440912791;5688135014;54503373614
6;10;56905833962;7924338289;59903472857
6;11;24457578560;13172105183;59896338641
6;12;18828156372;18828156372;18828156372
6;13;57380660990;5523772574;59981262353
6;14;28620810907;6077468226;35008796649
6;15;10994568793;7241552697;17811196186
6;16;58105943323;13389487072;59028116003
6;17;24022583176;6247840577;59738567262
6;18;18867352695;18181266684;19553438706
6;19;57801423865;5611978687;59989439719
6;20;22043125449;5784252468;55232222392
6;21;55638365710;5537631389;59976184682
6;22;10783974695;6343867866;16400094077
6;23;20203091446;5605140667;59960567684
6;24;10607298273;6285566391;16055897258
6;25;20636610059;11730811598;58603088800


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
7;1;17547004383;5586564284;22482193756
7;2;19257326192;5288052463;55041108088
7;3;20445336386;3908140490;59967383913
7;4;18984684021;5232966132;32032602398
7;5;37456019235;8479995432;59806773208
7;6;19367325910;5467578072;58543653313
7;7;17010044810;5098967396;17963834440
7;8;52669498600;11151936629;58501947105
7;9;21519759002;3965417392;29692885828
7;10;55813655726;6735758316;59825239591
7;11;20995557816;11307029525;59613314960
7;12;17312251195;4203115899;21598912640
7;13;20509139432;10574947445;39679765096
7;14;16808659105;10620576288;22059985697
7;15;17220555673;5351539162;20726358518
7;16;17041387971;10358124427;21019767037
7;17;21286020152;11470726098;59144276018
7;18;16439508651;4810812548;21053358947
7;19;56609037278;10905989868;59739522202
7;20;22133806298;11948392882;56936413636
7;21;58458490431;11628487908;59618586790
7;22;22734333310;5255526051;52883493922
7;23;56651196477;5445122355;60004280223
7;24;33844542779;5256931467;53510903691
7;25;51159956683;4212820904;54442828977


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
8;1;18022795719;10197743079;21375113946
8;2;17203767091;5118067660;20041226609
8;3;20056646537;10754220299;47972332866
8;4;17781583532;3985749725;21199820578
