6;15;2974502;2345271;8611848
6;16;2966850;2405753;9169671
6;17;3018331;2479644;8891284
6;18;3119351;2533562;9361804
6;19;3134175;2490609;9608484
6;20;3595225;2489143;9238744
6;21;3661390;2465886;12819786
6;22;3813525;2510514;11271894
6;23;3206413;2463441;10204160
6;24;3565251;2391086;9524046
6;25;3406371;2398769;11420026


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
7;1;3107656;2415600;9440865
7;2;3328537;2584895;9636351
7;3;3178449;2434108;9076782
7;4;3045302;2369924;9042420
7;5;3184041;2512680;9634674
7;6;3188465;2402819;10547779
7;7;3180020;2441582;9098642
7;8;3239966;2448076;10198433
7;9;3529715;2464001;12963868
7;10;3435164;2447657;11549024
7;11;3415441;2389689;10407049
7;12;3579384;2661302;8605423
7;13;3523164;2405054;9349652
7;14;3468450;2588946;8140909
7;15;3384949;2409175;10456985
7;16;3325028;2400096;9637468
7;17;3336569;2520363;9403010
7;18;3216427;2473918;10092135
7;19;3168207;2404705;10421087
7;20;3154167;2478108;9462934
7;21;3115017;2411410;9362503
7;22;3146026;2480692;9593398
7;23;3022445;2391854;9591303
7;24;2982652;2381378;8712420
7;25;3197329;2521270;9274572


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
8;1;3098052;2416229;9162338
8;2;3244484;2473010;9467684
8;3;3326580;2445632;9813329
8;4;3179564;2392343;10208001
8;5;3394949;2480902;9020490
8;6;3468459;2582311;8344916
8;7;3197466;2435924;8774649
8;8;3350808;2570648;8460573
8;9;3349089;2451708;8492909
8;10;3171023;2395067;9037810
8;11;3117723;2421257;8614083
8;12;3117508;2428171;9365576
8;13;3105860;2390388;10262408
8;14;3070085;2456597;9034668
8;15;3311983;2447028;12584141
8;16;3620654;2455829;10191030
8;17;3806761;2419791;11463398
8;18;3348031;2399467;9396516
8;19;3003595;2398908;9422427
8;20;3350101;2431803;8961754
8;21;3441963;2589854;8978934
8;22;3150484;2385010;9117220
8;23;3466689;2657810;10010839
8;24;3298411;2478179;10054909
8;25;3140384;2389410;9672598


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
9;1;3071613;2411549;8774928
9;2;3095790;2451848;8593620
9;3;2974025;2407080;9632649
9;4;3054097;2447658;8394852
9;5;3146552;2429080;10993506
9;6;3053000;2450940;8429633
9;7;2958864;2410781;8829195
9;8;3109068;2514006;8831290
9;9;3179235;2441721;9137474
9;10;3460140;2502692;13093704
9;11;3955367;2518057;12222643
9;12;3730145;2465537;10752973
9;13;3993308;2593346;12059354
9;14;3681621;2485931;9066096
9;15;3092206;2412178;9186642
9;16;3106207;2399327;8931931
9;17;3174310;2444305;10617760
9;18;3077806;2432362;10216033
9;19;3012310;2442978;8810897
9;20;3122967;2361613;11624522
9;21;3119505;2435506;10744103
9;22;3048799;2422305;9729588
9;23;2998524;2454781;9443519
9;24;2965750;2427892;8399741
9;25;2997159;2390038;9412020


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
10;1;3374273;2453105;10255563
10;2;3830285;2453873;10674331
10;3;3631575;2436274;10001620
10;4;3539594;2452756;10460478
10;5;3412923;2441162;11436719
10;6;3343210;2441511;9054224
10;7;3250162;2505207;8662484
10;8;3157641;2405683;9916554
10;9;3160831;2448146;10868211
10;10;3061597;2441092;8867817
10;11;3049330;2365663;10409912
10;12;3051543;2460998;8640903
10;13;3037029;2411410;9410763
10;14;2913870;2401213;9256274
10;15;3111602;2391156;10298655
10;16;3205200;2469029;10424091
10;17;3234183;2450102;9360408
10;18;3265815;2439905;8988084
10;19;3285376;2571137;9445405
10;20;3324603;2398280;11193601
10;21;3385927;2519384;9962579
10;22;3259869;2439206;9056249
10;23;3212663;2453036;9635442
10;24;3127351;2448495;9363201
10;25;3085829;2359797;9623639


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
11;1;2996045;2397441;10077538
11;2;3197204;2474267;8866560
11;3;3085528;2421956;9736642
11;4;3147530;2416998;9667989
11;5;3090916;2428661;10981284
11;6;3277718;2469448;10638294
11;7;3102482;2420000;9352935
11;8;3269573;2489004;8550389
11;9;3099325;2452756;9630624
11;10;3158898;2462254;9793214
11;11;3104884;2426635;8854128
11;12;3193940;2455200;10086478
